@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.105,0.005,4
I,0.145,0.011,4
I,0.095,0.0035,4
I,0.125,0.0085,4
I,0.125,0.009,4
I,0.18,0.018,4
I,0.205,0.0305,4
I,0.155,0.007,4
I,0.165,0.015,4
I,0.11,0.006,4
I,0.235,0.043,4
I,0.17,0.016,4
M,0.145,0.012,4
I,0.215,0.042,4
M,0.18,0.02,4
I,0.185,0.02,4
I,0.16,0.015,4
I,0.15,0.0105,4
I,0.16,0.015,4
I,0.145,0.011,4
I,0.235,0.0405,4
I,0.12,0.0345,4
I,0.245,0.06,6
I,0.245,0.0505,6
I,0.185,0.025,6
I,0.34,0.12,6
I,0.31,0.087,6
I,0.245,0.045,6
I,0.29,0.08,6
M,0.265,0.07,6
I,0.24,0.041,6
I,0.185,0.025,6
I,0.17,0.02,6
M,0.305,0.091,6
I,0.225,0.045,6
I,0.28,0.055,6
I,0.25,0.046,6
I,0.31,0.088,6
I,0.34,0.1075,6
I,0.275,0.072,6
I,0.33,0.0885,6
M,0.2,0.03,6
I,0.285,0.075,6
I,0.35,0.13,6
F,0.3,0.08,6
I,0.32,0.0945,6
I,0.255,0.06,6
I,0.33,0.103,6
M,0.24,0.05,6
I,0.225,0.0365,6
I,0.215,0.0405,6
F,0.35,0.1165,6
I,0.26,0.055,6
I,0.27,0.054,6
I,0.19,0.03,6
I,0.235,0.045,6
I,0.325,0.11,6
I,0.3,0.075,6
F,0.22,0.05,6
M,0.26,0.085,6
I,0.38,0.142,6
I,0.275,0.21,6
I,0.355,0.1365,6
I,0.265,0.055,6
I,0.315,0.091,6
I,0.315,0.08,6
I,0.22,0.039,6
I,0.35,0.11,6
I,0.27,0.065,6
I,0.31,0.085,6
I,0.31,0.105,6
I,0.3,0.11,6
I,0.38,0.147,6
I,0.275,0.0615,6
I,0.315,0.0765,6
M,0.385,0.1575,6
I,0.34,0.088,6
I,0.27,0.065,6
I,0.34,0.1,6
I,0.23,0.05,6
I,0.285,0.07,6
I,0.25,0.054,6
I,0.25,0.0495,6
I,0.24,0.048,6
I,0.3,0.0935,6
I,0.315,0.095,6
I,0.285,0.07,6
I,0.23,0.0415,6
I,0.325,0.106,6
I,0.215,0.04,6
I,0.265,0.053,6
I,0.28,0.065,6
M,0.335,0.11,6
I,0.21,0.03,6
I,0.315,0.087,6
I,0.33,0.098,6
I,0.29,0.0825,6
I,0.275,0.07,6
I,0.19,0.0245,6
I,0.35,0.1175,6
I,0.34,0.1145,6
I,0.27,0.062,6
I,0.28,0.0645,6
I,0.26,0.054,6
I,0.195,0.0355,6
I,0.175,0.018,6
I,0.24,0.043,6
I,0.37,0.1345,6
F,0.475,0.271,6
I,0.27,0.0615,6
I,0.275,0.07,6
I,0.31,0.0975,6
I,0.29,0.07,6
I,0.17,0.022,6
M,0.235,0.045,6
I,0.285,0.0715,6
I,0.235,0.039,6
I,0.275,0.0825,6
I,0.13,0.01,6
I,0.25,0.0575,6
I,0.23,0.045,6
I,0.31,0.088,6
I,0.225,0.0405,6
I,0.345,0.1305,6
I,0.27,0.062,6
I,0.275,0.075,6
I,0.335,0.1,6
I,0.29,0.086,6
I,0.33,0.096,6
I,0.23,0.3505,6
I,0.21,0.03,6
I,0.305,0.082,6
I,0.27,0.065,6
I,0.26,0.07,6
I,0.225,0.09,6
I,0.265,0.06,6
I,0.22,0.035,6
I,0.215,0.03,6
I,0.25,0.055,6
I,0.295,0.066,6
M,0.3,0.1025,6
I,0.245,0.1125,6
I,0.185,0.025,6
M,0.39,0.1565,6
F,0.475,0.335,6
M,0.22,0.045,6
I,0.23,0.038,6
M,0.39,0.131,6
I,0.28,0.067,6
I,0.325,0.105,6
I,0.275,0.08,6
I,0.22,0.035,6
I,0.215,0.03,6
F,0.335,0.1195,6
I,0.3,0.075,6
I,0.33,0.097,6
I,0.265,0.06,6
I,0.31,0.091,6
I,0.27,0.065,6
I,0.215,0.027,6
F,0.4,0.1385,6
I,0.305,0.09,6
I,0.325,0.098,6
I,0.195,0.028,6
F,0.25,0.055,6
M,0.27,0.0715,6
I,0.325,0.105,6
I,0.195,0.025,6
I,0.205,0.03,6
F,0.36,0.127,6
M,0.195,0.03,6
I,0.325,0.0945,6
M,0.19,0.03,6
I,0.3,0.085,6
I,0.24,0.045,6
I,0.21,0.03,6
M,0.265,0.065,6
F,0.45,0.225,6
I,0.29,0.075,6
M,0.2,0.04,6
I,0.195,0.0245,6
I,0.2,0.03,6
I,0.265,0.07,6
I,0.235,0.045,6
I,0.33,0.09,6
I,0.26,0.055,6
F,0.375,0.15,6
I,0.235,0.04,6
I,0.28,0.07,6
I,0.315,0.093,6
M,0.26,0.055,6
M,0.375,0.17,6
I,0.3,0.0765,6
I,0.28,0.085,6
I,0.29,0.077,6
I,0.29,0.086,6
I,0.335,0.09,6
I,0.275,0.0755,6
I,0.28,0.0635,6
I,0.275,0.065,6
I,0.25,0.0575,6
I,0.275,0.0755,6
I,0.315,0.105,6
I,0.29,0.082,6
I,0.375,0.1295,6
I,0.255,0.06,6
I,0.23,0.037,6
I,0.26,0.06,6
M,0.27,0.075,6
I,0.215,0.0885,6
I,0.375,0.15,6
I,0.23,0.0345,6
I,0.325,0.106,6
I,0.265,0.0445,6
M,0.37,0.1555,6
I,0.24,0.05,6
I,0.19,0.027,6
I,0.265,0.054,6
I,0.345,0.109,6
I,0.345,0.111,6
F,0.36,0.13,6
I,0.205,0.029,6
M,0.41,0.1835,6
I,0.28,0.085,6
M,0.215,0.035,6
F,0.255,0.05,6
I,0.18,0.018,6
I,0.35,0.115,6
F,0.35,0.1095,6
I,0.435,0.2515,6
I,0.21,0.03,6
I,0.24,0.083,6
I,0.22,0.042,6
I,0.31,0.094,6
M,0.375,0.155,6
I,0.24,0.038,6
I,0.125,0.008,6
I,0.34,0.1185,6
I,0.205,0.03,6
M,0.24,0.055,6
I,0.31,0.0915,6
I,0.27,0.065,6
F,0.21,0.035,6
I,0.225,0.0415,6
F,0.42,0.1505,6
I,0.23,0.0505,6
I,0.345,0.134,6
I,0.27,0.058,6
I,0.22,0.035,6
I,0.33,0.119,6
I,0.28,0.062,6
I,0.28,0.055,6
I,0.27,0.062,6
I,0.35,0.135,6
I,0.3,0.0805,6
F,0.5,0.725,21
F,0.55,0.585,21
F,0.485,0.39,21
M,0.39,0.17,21
I,0.415,0.265,21
F,0.42,0.445,21
F,0.455,0.375,21
F,0.365,0.205,21
M,0.555,0.465,21
M,0.59,0.58,21
M,0.51,0.57,21
F,0.535,0.47,21
I,0.465,0.375,17
F,0.485,0.51,17
M,0.48,0.41,17
F,0.5,0.345,17
M,0.5,0.395,17
F,0.52,0.45,17
F,0.41,0.215,17
I,0.435,0.264,17
M,0.52,0.455,17
F,0.4,0.205,17
M,0.47,0.35,17
M,0.475,0.35,17
F,0.38,0.205,17
F,0.565,0.885,17
I,0.515,0.33,17
M,0.585,0.7,17
I,0.505,0.435,17
F,0.43,0.235,17
I,0.44,0.3,17
M,0.465,0.385,17
F,0.44,0.3,17
I,0.46,0.37,17
F,0.425,0.278,17
M,0.455,0.25,17
F,0.56,0.47,17
F,0.485,0.42,17
M,0.435,0.325,17
F,0.48,0.515,17
M,0.425,0.275,17
F,0.505,0.41,17
M,0.51,0.57,17
F,0.56,0.525,17
M,0.58,0.601,17
M,0.45,0.29,17
M,0.4,0.3,17
F,0.55,0.625,17
F,0.535,0.475,17
M,0.54,0.415,17
M,0.435,0.27,17
M,0.415,0.2645,17
M,0.5,0.37,17
F,0.455,0.3,17
F,0.555,0.36,17
F,0.385,0.17,17
M,0.485,0.485,17
F,0.44,0.305,17
M,0.405,0.315,17
F,0.435,0.295,17
I,0.42,0.25,17
M,0.495,0.725,17
F,0.36,0.195,17
M,0.425,0.255,17
F,0.42,0.265,17
F,0.395,0.245,22
F,0.45,0.27,22
F,0.525,0.55,22
M,0.54,0.585,22
M,0.505,0.435,22
I,0.055,0.0015,1
I,0.11,0.005,3
I,0.13,0.009,3
I,0.175,0.017,3
I,0.15,0.0125,3
I,0.12,0.014,3
M,0.125,0.01,3
I,0.15,0.011,3
I,0.09,0.003,3
I,0.1,0.004,3
I,0.14,0.0105,3
I,0.155,0.014,3
I,0.105,0.004,3
M,0.15,0.01,3
M,0.495,0.375,26
F,0.52,0.395,23
F,0.38,0.265,23
M,0.49,0.36,23
F,0.63,0.62,23
F,0.47,0.435,23
F,0.415,0.26,23
M,0.4,0.3,23
F,0.385,0.24,23
F,0.585,0.475,29
I,0.1,0.005,2
F,0.465,0.525,27
M,0.535,0.885,27
F,0.49,0.51,25
F,0.54,0.71,24
M,0.54,0.555,24
