@relation abalone

@attribute Sex {M,F,I}
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.454,0.1895,0.155,11
M,1.463,0.658,0.4115,11
F,1.6605,0.8605,0.398,11
F,1.354,0.4845,0.375,11
M,1.089,0.5195,0.292,11
M,0.9525,0.4315,0.287,11
I,0.72,0.329,0.251,11
F,1.172,0.536,0.316,11
F,2.657,1.488,0.586,11
M,1.7825,0.5565,0.4285,11
F,1.233,0.5565,0.365,11
F,1.6675,0.833,0.475,11
M,1.0475,0.465,0.315,11
F,1.6275,0.689,0.432,11
F,0.7855,0.363,0.195,11
M,0.478,0.1865,0.16,11
M,1.31,0.553,0.345,11
M,1.4385,0.6775,0.178,11
M,1.893,0.942,0.445,11
M,2.14,1.2455,0.434,11
M,1.432,0.637,0.46,11
M,1.274,0.59,0.391,11
F,1.271,0.531,0.37,11
M,0.942,0.43,0.277,11
M,1.06,0.402,0.275,11
M,1.539,0.6405,0.43,11
F,0.9955,0.3945,0.285,11
F,1.826,0.797,0.499,11
F,1.463,0.6525,0.422,11
F,1.2895,0.587,0.3415,11
M,1.385,0.6355,0.38,11
M,2.015,0.9215,0.566,11
F,0.9515,0.4535,0.2765,11
M,0.5895,0.2535,0.172,11
F,0.3665,0.125,0.117,11
I,0.233,0.0905,0.07,11
M,1.46,0.686,0.405,11
F,1.3725,0.6285,0.3685,11
M,0.709,0.275,0.18,11
F,1.034,0.437,0.32,11
F,1.907,0.8725,0.475,11
M,0.92,0.378,0.29,11
F,0.4565,0.1785,0.14,11
M,1.3655,0.6155,0.36,11
F,1.3405,0.5065,0.412,11
I,0.83,0.379,0.2575,11
F,1.1965,0.475,0.386,11
I,0.907,0.371,0.3075,11
F,1.194,0.559,0.3165,11
F,0.869,0.3425,0.291,11
M,0.203,0.0615,0.0795,11
F,1.107,0.4895,0.343,11
I,0.6975,0.262,0.24,11
M,1.6465,0.749,0.401,11
M,0.889,0.36,0.25,11
M,2.198,1.012,0.5475,11
M,1.297,0.59,0.363,11
I,0.8545,0.321,0.275,11
F,1.0035,0.503,0.2515,11
F,1.6075,0.714,0.4705,11
F,0.639,0.3,0.16,11
M,1.136,0.451,0.305,11
F,1.764,0.8505,0.47,11
F,1.1785,0.566,0.294,11
M,0.551,0.2245,0.206,11
F,0.6295,0.2555,0.18,11
F,1.817,0.785,0.49,11
M,1.035,0.44,0.285,11
M,1.1165,0.4895,0.3325,11
M,2.081,1.0815,0.503,11
M,1.2075,0.5385,0.345,11
F,0.387,0.165,0.0985,11
M,0.8395,0.356,0.2385,11
F,0.7745,0.2985,0.265,11
F,0.3785,0.152,0.125,11
M,0.8795,0.387,0.2625,11
M,0.764,0.3035,0.2175,11
F,1.5175,0.693,0.409,11
F,1.638,0.7775,0.438,11
M,1.7725,0.813,0.49,11
I,0.672,0.288,0.21,11
F,1.1345,0.4695,0.348,11
F,0.597,0.2615,0.178,11
M,1.269,0.576,0.351,11
I,0.7365,0.3225,0.215,11
M,0.662,0.2815,0.22,11
F,2.505,1.1965,0.6785,11
M,1.5365,0.6865,0.405,11
I,0.8365,0.3745,0.249,11
M,1.4585,0.625,0.4395,11
M,1.289,0.6145,0.3665,11
F,0.802,0.2935,0.28,11
F,1.58,0.6435,0.265,11
M,1.014,0.451,0.325,11
M,1.0735,0.4375,0.31,11
M,1.636,0.779,0.432,11
F,1.473,0.713,0.4295,11
M,1.2555,0.527,0.3175,11
F,0.616,0.243,0.21,11
F,1.114,0.5865,0.25,11
F,1.197,0.526,0.317,11
F,1.719,0.8465,0.3875,11
M,1.172,0.445,0.3475,11
I,0.4885,0.2005,0.166,11
M,1.292,0.6,0.367,11
F,1.1635,0.4875,0.355,11
F,2.073,1.0135,0.48,11
M,1.1825,0.474,0.24,11
M,1.1245,0.492,0.3555,11
M,0.1555,0.0585,0.049,11
M,1.527,0.809,0.341,11
M,0.4365,0.169,0.145,11
M,0.9595,0.4455,0.295,11
F,1.13,0.4405,0.335,11
F,1.1635,0.554,0.32,11
M,0.5205,0.2015,0.185,11
M,0.2455,0.0955,0.075,11
M,1.601,0.706,0.45,11
F,0.363,0.1735,0.11,11
M,1.6385,0.831,0.371,11
F,0.883,0.381,0.26,11
M,2.548,1.1945,0.6745,11
F,1.133,0.5275,0.35,11
I,0.9025,0.432,0.26,11
F,0.415,0.1585,0.131,11
M,1.0625,0.516,0.2915,11
M,0.8075,0.3485,0.235,11
I,1.0285,0.4535,0.275,11
F,0.606,0.239,0.18,11
I,0.2275,0.0935,0.085,11
M,0.9615,0.422,0.29,11
I,0.6235,0.2975,0.195,11
F,1.938,0.7735,0.575,11
F,1.5615,0.63,0.3725,11
F,1.4045,0.694,0.3235,11
M,0.7305,0.279,0.195,11
F,1.596,0.617,0.37,11
M,1.787,0.718,0.529,11
F,1.133,0.466,0.298,11
M,1.0005,0.454,0.265,11
F,0.8305,0.3135,0.23,11
F,1.7365,0.7755,0.461,11
F,1.062,0.372,0.34,11
F,0.485,0.181,0.155,11
I,0.302,0.116,0.115,11
I,0.4075,0.1365,0.18,11
F,1.217,0.5725,0.355,11
F,1.09,0.46,0.304,11
F,1.8065,0.758,0.5055,11
F,1.7495,0.7755,0.48,11
I,0.6445,0.3155,0.186,11
F,1.7315,0.83,0.405,11
F,1.5855,0.667,0.471,11
F,1.7185,0.7925,0.468,11
M,1.271,0.6605,0.31,11
F,1.385,0.8875,0.405,11
I,0.612,0.2435,0.1895,11
F,1.7015,0.7465,0.3855,11
F,1.3405,0.5595,0.4375,11
F,0.785,0.289,0.233,11
M,1.5595,0.695,0.395,11
M,1.4775,0.724,0.406,11
I,0.7895,0.3745,0.223,11
M,1.3415,0.5705,0.355,11
I,1.786,0.6725,0.4065,11
M,1.672,0.7075,0.48,11
F,0.9585,0.4145,0.33,11
F,0.7085,0.293,0.235,11
F,0.94,0.399,0.265,11
M,0.927,0.3215,0.315,11
I,0.8155,0.3675,0.246,11
M,0.651,0.273,0.22,11
M,1.6785,0.6665,0.46,11
M,1.3835,0.7105,0.345,11
I,0.368,0.1675,0.1135,11
F,1.4285,0.639,0.36,11
M,0.62,0.255,0.205,11
F,1.079,0.4145,0.356,11
M,0.171,0.0655,0.055,11
M,1.437,0.5855,0.475,11
M,0.97,0.385,0.35,11
M,1.707,0.763,0.4435,11
F,1.3475,0.7045,0.3045,11
F,1.073,0.467,0.35,11
M,1.276,0.6215,0.399,11
F,0.6935,0.2975,0.21,11
I,0.4885,0.193,0.155,11
M,1.777,0.769,0.4305,11
F,1.834,0.8455,0.455,11
F,1.04,0.4755,0.28,11
F,0.788,0.282,0.285,11
F,0.513,0.232,0.13,11
F,0.728,0.302,0.235,11
I,0.525,0.1775,0.185,11
F,1.16,0.4785,0.349,11
I,0.1835,0.078,0.065,11
M,0.978,0.3365,0.3,11
M,1.6645,0.727,0.445,11
M,0.9385,0.3685,0.345,11
M,0.915,0.4,0.285,11
M,1.185,0.474,0.38,11
M,0.96,0.387,0.275,11
M,1.1775,0.4935,0.285,11
M,1.1805,0.456,0.329,11
M,1.669,0.7465,0.508,11
M,1.5075,0.7455,0.4325,11
M,1.4715,0.675,0.399,11
M,1.1145,0.5055,0.367,11
M,1.7405,0.6205,0.657,11
I,0.5775,0.2,0.179,11
M,0.832,0.3585,0.277,11
F,1.278,0.5605,0.358,11
F,1.527,0.8485,0.331,11
M,0.4835,0.1815,0.16,11
F,0.97,0.4655,0.264,11
M,1.6115,0.8415,0.395,11
M,1.013,0.4685,0.295,11
F,0.6915,0.276,0.215,11
I,1.066,0.446,0.305,11
M,1.858,0.73,0.595,11
M,0.8945,0.319,0.245,11
I,0.875,0.3695,0.255,11
I,0.529,0.2165,0.155,11
F,0.712,0.2665,0.25,11
M,1.217,0.532,0.3315,11
I,0.61,0.229,0.235,11
F,1.1015,0.404,0.35,11
F,1.67,0.6525,0.49,11
F,0.5175,0.187,0.18,11
I,0.347,0.12,0.105,11
M,1.931,0.896,0.5,11
I,1.1545,0.5865,0.2915,11
F,0.7005,0.312,0.2,11
I,0.907,0.444,0.2445,11
M,0.3595,0.1415,0.115,11
I,0.4385,0.184,0.1125,11
F,1.759,0.6865,0.547,11
F,1.087,0.4255,0.38,11
I,0.8735,0.414,0.21,11
F,1.494,0.615,0.406,11
M,1.825,0.938,0.44,11
M,1.5865,0.691,0.4425,11
M,1.081,0.4825,0.31,11
M,2.3235,1.1495,0.505,11
M,0.987,0.4355,0.31,11
M,0.7155,0.2805,0.214,11
F,0.731,0.236,0.255,11
I,0.8215,0.332,0.29,11
M,1.202,0.565,0.294,11
M,1.2345,0.618,0.325,11
M,1.747,0.7275,0.557,11
M,0.868,0.348,0.26,11
F,0.4435,0.185,0.145,11
F,0.9245,0.405,0.255,11
M,1.375,0.623,0.395,11
F,1.614,0.743,0.45,11
I,0.8245,0.3375,0.239,11
M,1.1275,0.4925,0.335,11
F,0.4285,0.165,0.132,11
M,2.009,0.9895,0.502,11
M,1.2075,0.531,0.3525,11
I,0.783,0.3045,0.265,11
M,1.7835,0.8885,0.4195,11
M,1.169,0.5275,0.344,11
F,0.928,0.394,0.26,11
F,1.121,0.4515,0.155,11
I,0.781,0.3055,0.295,11
M,0.2465,0.104,0.083,11
M,1.3385,0.633,0.349,11
F,1.652,0.735,0.4525,11
M,0.314,0.138,0.1,11
F,0.6125,0.2555,0.22,11
M,0.7385,0.321,0.252,11
F,0.452,0.1715,0.155,11
F,0.6625,0.3005,0.185,11
M,1.105,0.492,0.325,11
I,0.9005,0.3845,0.2765,11
I,0.346,0.1425,0.113,11
F,1.3315,0.594,0.388,11
F,0.3865,0.1475,0.11,11
M,1.443,0.6635,0.353,11
M,1.3915,0.726,0.332,11
M,1.136,0.5245,0.275,11
F,1.4255,0.659,0.38,11
F,1.251,0.577,0.3825,11
I,1.0315,0.4265,0.325,11
I,0.9015,0.419,0.26,11
F,0.9715,0.371,0.28,11
F,1.5555,0.695,0.444,11
F,1.6885,0.7295,0.4265,11
F,1.2915,0.631,0.32,11
M,1.29,0.606,0.3445,11
M,0.6025,0.216,0.21,11
I,1.238,0.6315,0.33,11
M,0.4495,0.165,0.144,11
F,1.56,0.6655,0.405,11
F,0.4585,0.192,0.13,11
F,1.807,0.8225,0.515,11
M,0.515,0.2,0.175,11
M,2.069,0.9285,0.643,11
M,0.488,0.191,0.155,11
F,1.4405,0.688,0.363,11
F,0.5915,0.233,0.18,11
M,1.2865,0.435,0.3245,11
F,1.9425,0.799,0.5655,11
M,2.141,1.0465,0.528,11
M,0.77,0.263,0.26,11
I,1.0485,0.507,0.274,11
M,1.3645,0.557,0.385,11
F,1.139,0.4995,0.357,11
F,1.2895,0.5345,0.41,11
F,1.664,0.58,0.545,11
M,1.403,0.6955,0.42,11
I,0.599,0.2245,0.225,11
F,0.8805,0.3645,0.235,11
M,1.88,0.9095,0.488,11
F,0.9285,0.3825,0.3,11
I,0.668,0.2925,0.209,11
F,1.053,0.458,0.3,11
F,1.528,0.6215,0.4535,11
M,0.2665,0.115,0.075,11
F,1.318,0.55,0.335,11
M,1.2315,0.6025,0.2925,11
M,1.3685,0.5975,0.4,11
M,0.549,0.2215,0.15,11
I,1.272,0.6025,0.315,11
F,0.9935,0.4625,0.28,11
F,0.57,0.167,0.187,11
F,1.737,0.697,0.595,11
M,1.1835,0.556,0.345,11
F,2.555,1.1335,0.6,11
M,1.1745,0.5255,0.339,11
M,1.1955,0.492,0.37,11
M,1.0285,0.4435,0.285,11
F,1.059,0.441,0.39,11
M,1.348,0.8985,0.4535,11
M,0.732,0.189,0.31,11
M,1.56,0.647,0.465,11
M,1.488,0.665,0.378,11
F,1.357,0.5725,0.43,11
M,0.12,0.0415,0.04,11
I,0.3625,0.134,0.12,11
F,1.619,0.74,0.465,11
M,1.461,0.5985,0.439,11
M,2.201,1.0615,0.5285,11
F,1.2695,0.5635,0.3395,11
I,0.757,0.315,0.215,11
M,1.229,0.535,0.335,11
M,1.5455,0.654,0.415,11
F,1.662,0.77,0.435,11
F,1.3825,0.5895,0.381,11
M,1.307,0.678,0.266,11
M,1.3735,0.7185,0.32,11
M,0.764,0.312,0.265,11
F,1.4265,0.6605,0.37,11
M,1.7025,0.833,0.41,11
M,0.6555,0.2595,0.19,11
F,1.346,0.546,0.476,11
M,0.745,0.255,0.2885,11
M,1.2435,0.5175,0.37,11
M,1.337,0.5995,0.37,11
M,0.955,0.3625,0.27,11
M,1.1835,0.517,0.39,11
M,1.242,0.5675,0.317,11
F,1.684,0.7535,0.32,11
M,0.416,0.1625,0.145,11
I,0.966,0.447,0.284,11
M,1.1665,0.4605,0.3945,11
M,0.8375,0.3485,0.24,11
M,1.003,0.4655,0.28,11
M,1.2695,0.605,0.328,11
F,1.792,0.873,0.435,11
F,1.593,0.686,0.45,11
F,1.0385,0.427,0.345,11
F,1.15,0.5475,0.3045,11
M,0.5415,0.2175,0.19,11
M,1.691,0.768,0.4755,11
F,1.4995,0.593,0.431,11
M,1.21,0.53,0.322,11
M,1.39,0.711,0.3,11
F,0.9945,0.4255,0.2845,11
F,1.1115,0.4495,0.345,11
F,0.984,0.475,0.265,11
F,1.5585,0.7285,0.385,11
F,1.434,0.7285,0.431,11
I,0.811,0.3685,0.235,11
F,1.1135,0.5195,0.3005,11
F,0.9865,0.47,0.25,11
M,0.9185,0.404,0.29,11
M,1.7475,0.8215,0.4705,11
F,0.541,0.171,0.185,11
M,0.8635,0.393,0.2,11
F,1.2265,0.49,0.2875,11
F,0.627,0.2645,0.181,11
M,0.9355,0.425,0.2725,11
M,1.157,0.522,0.36,11
I,0.5995,0.242,0.182,11
F,1.3765,0.634,0.406,11
F,1.2085,0.465,0.411,11
M,1.32,0.6525,0.3385,11
M,0.744,0.352,0.1685,11
M,0.6655,0.285,0.269,11
F,1.7635,0.7465,0.4975,11
F,1.151,0.5935,0.293,12
F,1.2735,0.469,0.398,12
F,1.8745,0.6755,0.6855,12
I,0.4705,0.1845,0.155,12
F,1.3255,0.6685,0.335,12
F,0.3575,0.145,0.11,12
M,1.0225,0.419,0.36,12
F,1.494,0.7255,0.405,12
F,1.0835,0.5405,0.275,12
M,2.087,0.909,0.625,12
M,0.266,0.0995,0.09,12
M,1.539,0.6115,0.445,12
M,0.6995,0.2575,0.24,12
F,0.9395,0.4275,0.27,12
F,0.9715,0.3965,0.26,12
M,0.7145,0.3055,0.18,12
M,1.221,0.4605,0.43,12
F,0.727,0.291,0.235,12
F,2.1275,0.949,0.565,12
M,1.583,0.7355,0.3865,12
M,0.316,0.1205,0.1105,12
M,1.978,1.026,0.4505,12
M,0.4775,0.2,0.17,12
F,0.9285,0.302,0.265,12
M,1.093,0.497,0.315,12
F,1.255,0.5815,0.3225,12
M,1.3725,0.606,0.395,12
F,1.2405,0.6025,0.3085,12
M,2.0045,1.0465,0.5075,12
M,0.6645,0.258,0.24,12
M,1.062,0.5065,0.3365,12
F,2.2635,0.821,0.726,12
M,1.1505,0.4375,0.4,12
F,1.8795,0.931,0.4825,12
F,0.9585,0.447,0.275,12
F,1.0605,0.5135,0.3,12
F,1.186,0.4985,0.35,12
M,1.7825,0.9165,0.461,12
F,0.8875,0.309,0.262,12
F,0.559,0.1955,0.1945,12
F,1.2765,0.501,0.355,12
F,1.295,0.339,0.44,12
M,0.8395,0.3325,0.305,12
F,0.631,0.2765,0.216,12
I,0.383,0.1555,0.135,12
M,1.266,0.6285,0.309,12
M,0.9535,0.4465,0.245,12
M,0.785,0.282,0.275,12
M,1.647,0.7225,0.471,12
F,0.433,0.1525,0.152,12
M,2.333,1.2395,0.6195,12
F,1.741,0.7665,0.4685,12
F,0.686,0.281,0.22,12
F,0.539,0.229,0.165,12
M,1.09,0.407,0.354,12
M,1.102,0.455,0.33,12
I,0.6675,0.2745,0.18,12
M,0.669,0.2385,0.205,12
I,0.5555,0.2,0.2235,12
M,1.286,0.5645,0.386,12
F,1.3105,0.58,0.37,12
F,0.507,0.1915,0.155,12
F,0.382,0.1465,0.14,12
M,1.3165,0.6345,0.364,12
M,0.8565,0.3475,0.24,12
M,2.5155,1.1155,0.642,12
F,0.525,0.2185,0.155,12
M,1.4345,0.611,0.418,12
F,1.8375,0.7645,0.553,12
F,1.1705,0.5405,0.285,12
M,2.2205,1.083,0.63,12
F,2.119,0.9655,0.482,12
M,0.388,0.068,0.125,12
M,1.164,0.5045,0.335,12
F,1.9805,0.9925,0.48,12
M,1.0055,0.3785,0.265,12
M,0.925,0.342,0.35,12
I,0.8095,0.2985,0.28,12
M,0.3745,0.158,0.125,12
M,0.6765,0.256,0.26,12
F,0.59,0.232,0.23,12
F,0.8575,0.3465,0.275,12
I,1.154,0.4935,0.315,12
M,1.6,0.708,0.445,12
M,1.34,0.5315,0.41,12
M,0.6415,0.246,0.215,12
F,0.9885,0.387,0.31,12
F,1.2765,0.4835,0.4,12
F,1.3905,0.61,0.41,12
M,0.709,0.211,0.262,12
F,1.107,0.402,0.31,12
M,1.133,0.5515,0.305,12
M,1.2585,0.6255,0.308,12
M,0.44,0.169,0.135,12
M,0.5835,0.2295,0.18,12
F,0.8425,0.3685,0.24,12
M,1.244,0.6345,0.305,12
M,1.5105,0.6735,0.3775,12
F,1.017,0.426,0.32,12
F,0.772,0.2855,0.23,12
M,1.3705,0.645,0.3705,12
M,1.195,0.5435,0.335,12
F,1.113,0.5175,0.305,12
F,0.447,0.203,0.13,12
F,0.6175,0.262,0.193,12
F,1.12,0.4955,0.32,12
F,0.865,0.3675,0.27,12
I,0.3285,0.1405,0.106,12
F,0.6785,0.2945,0.195,12
F,0.692,0.267,0.215,12
M,1.4865,0.6445,0.425,12
M,2.302,1.007,0.6205,12
M,2.7795,1.3485,0.578,12
F,0.5965,0.253,0.185,12
F,0.9765,0.322,0.37,12
M,0.7385,0.3515,0.215,12
F,1.8095,0.784,0.455,12
M,1.1735,0.4975,0.345,12
F,1.7525,0.7105,0.516,12
M,0.5955,0.2135,0.2,12
M,0.702,0.3335,0.22,12
F,1.248,0.4245,0.48,12
M,1.0345,0.315,0.3635,12
F,1.3485,0.493,0.49,12
F,0.281,0.1045,0.09,12
M,0.5915,0.288,0.185,12
M,0.8915,0.359,0.245,12
M,2.1055,1.017,0.494,12
F,1.6185,0.5125,0.62,12
F,0.38,0.1595,0.12,12
F,0.915,0.354,0.32,12
I,1.1955,0.643,0.3145,12
F,0.708,0.274,0.25,12
I,0.6315,0.2745,0.1815,12
F,1.286,0.526,0.4105,12
F,0.8745,0.375,0.29,12
F,0.9775,0.3135,0.33,12
F,1.3435,0.657,0.355,12
F,0.6435,0.2415,0.21,12
M,1.2445,0.544,0.345,12
F,1.6645,0.753,0.43,12
F,1.377,0.5585,0.292,12
F,0.59,0.215,0.1845,12
F,0.4085,0.15,0.1515,12
F,1.527,0.5755,0.44,12
M,1.155,0.4955,0.385,12
M,2.398,1.128,0.5335,12
F,1.4015,0.643,0.416,12
M,0.982,0.4295,0.295,12
F,2.1,0.8565,0.602,12
M,0.6435,0.27,0.205,12
M,0.7895,0.343,0.25,12
F,1.569,0.687,0.46,12
I,0.8,0.335,0.25,12
M,0.5565,0.226,0.195,12
M,0.991,0.382,0.5,12
M,2.173,0.9515,0.5365,12
M,0.7365,0.3275,0.22,12
M,0.8565,0.2745,0.21,12
M,0.8415,0.2715,0.285,12
I,0.816,0.3995,0.23,12
M,1.3745,0.75,0.369,12
F,0.807,0.2855,0.235,12
F,1.2035,0.5865,0.3185,12
F,1.47,0.5375,0.431,12
M,0.875,0.2665,0.285,12
F,0.658,0.2655,0.225,12
I,1.054,0.369,0.36,12
F,0.97,0.342,0.355,12
F,0.6185,0.251,0.2,12
M,0.8665,0.3695,0.255,12
M,1.13,0.458,0.315,12
F,1.234,0.598,0.315,12
F,1.2215,0.582,0.313,12
I,0.45,0.191,0.145,12
F,1.161,0.38,0.28,12
F,0.6985,0.3,0.195,12
M,0.415,0.215,0.13,12
F,1.3485,0.5935,0.425,12
F,1.137,0.4605,0.344,12
M,0.7085,0.305,0.205,12
F,1.6225,0.6555,0.513,12
F,0.9315,0.431,0.235,12
F,1.613,0.723,0.4945,12
I,0.2565,0.1165,0.0725,12
M,0.931,0.356,0.28,12
M,1.2695,0.5115,0.436,12
M,0.1775,0.0575,0.068,12
M,0.755,0.307,0.26,12
M,1.274,0.579,0.32,12
M,2.273,1.095,0.638,12
M,1.884,0.954,0.495,12
M,0.772,0.346,0.245,12
F,0.496,0.1905,0.14,12
F,1.371,0.6925,0.35,12
M,0.74,0.2635,0.245,12
M,0.6175,0.3,0.175,12
M,0.6185,0.216,0.24,12
F,0.3375,0.1435,0.098,12
F,1.5675,0.621,0.46,12
F,1.026,0.4645,0.305,12
F,1.081,0.49,0.279,12
M,1.5545,0.6645,0.512,12
M,0.4935,0.186,0.17,12
F,1.5345,0.96,0.43,12
M,1.429,0.6715,0.4,12
F,1.0525,0.392,0.285,12
M,1.615,0.5105,0.675,12
M,1.0295,0.425,0.335,12
F,1.3765,0.6485,0.335,12
F,1.685,0.693,0.4045,12
F,0.854,0.3665,0.245,12
I,0.9445,0.3545,0.3,12
I,1.1305,0.5285,0.306,12
F,1.1085,0.3705,0.33,12
M,1.1355,0.539,0.3115,12
F,0.63,0.234,0.23,12
F,1.2525,0.73,0.462,12
M,0.567,0.174,0.225,12
M,1.2715,0.4915,0.49,12
F,1.6195,0.7815,0.4675,12
M,1.4405,0.6565,0.375,12
M,0.6445,0.26,0.22,12
F,0.651,0.2935,0.17,12
M,1.2555,0.5765,0.355,12
F,1.1905,0.4585,0.37,12
F,1.2955,0.5215,0.365,12
I,0.581,0.245,0.168,12
M,1.446,0.6485,0.45,12
F,0.9915,0.3865,0.265,12
F,0.813,0.3315,0.1775,12
F,1.6705,0.732,0.501,12
M,1.623,0.7165,0.4715,12
F,1.556,0.6725,0.195,12
F,1.3905,0.5425,0.4,12
F,1.1445,0.485,0.365,12
M,1.0115,0.4235,0.305,12
M,0.6295,0.263,0.215,12
F,1.477,0.684,0.39,12
M,1.098,0.4765,0.375,12
I,0.4775,0.185,0.169,18
F,1.428,0.493,0.565,18
F,1.4155,0.508,0.445,18
I,0.673,0.2175,0.195,18
F,1.966,0.8435,0.5855,18
M,1.227,0.48,0.35,18
M,1.959,0.7665,0.78,18
M,0.873,0.3035,0.31,18
F,1.3665,0.5005,0.41,18
F,1.3065,0.479,0.345,18
F,0.494,0.1945,0.155,18
M,1.3185,0.548,0.42,18
M,1.6305,0.4865,0.61,18
M,0.3525,0.1135,0.13,18
F,1.312,0.529,0.485,18
F,0.98,0.2585,0.38,18
F,1.8085,0.7035,0.395,18
F,1.162,0.511,0.32,18
F,0.8205,0.365,0.26,18
M,1.489,0.5915,0.38,18
M,1.338,0.5515,0.35,18
F,0.9555,0.38,0.295,18
M,1.616,0.5495,0.34,18
F,1.0475,0.3775,0.385,18
M,1.156,0.428,0.315,18
M,1.4435,0.6145,0.39,18
F,0.957,0.3885,0.275,18
F,1.0915,0.3935,0.33,18
I,1.3165,0.5305,0.41,18
F,1.571,0.627,0.475,18
M,1.642,0.532,0.69,18
F,0.6735,0.265,0.25,18
M,0.973,0.2985,0.355,18
M,0.6815,0.2145,0.2495,18
M,0.9065,0.342,0.32,18
M,1.0295,0.4635,0.305,18
F,0.8365,0.315,0.32,18
M,0.7665,0.264,0.275,13
M,0.7575,0.2735,0.275,13
M,1.2705,0.548,0.337,13
M,1.2105,0.5185,0.335,13
F,0.501,0.192,0.175,13
M,0.792,0.316,0.28,13
F,1.124,0.2985,0.44,13
I,0.6275,0.276,0.185,13
I,0.9315,0.358,0.26,13
F,0.6635,0.21,0.2515,13
M,0.921,0.357,0.29,13
F,1.2315,0.4525,0.42,13
M,0.3865,0.128,0.148,13
F,1.1005,0.506,0.295,13
F,1.925,0.713,0.4535,13
F,1.9335,0.913,0.51,13
F,0.3095,0.138,0.095,13
M,0.9745,0.353,0.305,13
F,0.5885,0.2385,0.19,13
M,1.5415,0.471,0.535,13
F,1.7975,0.7295,0.5165,13
F,1.689,0.694,0.474,13
F,1.4005,0.5195,0.44,13
I,0.683,0.3265,0.165,13
M,0.9175,0.2775,0.335,13
F,1.933,0.7855,0.498,13
M,1.7375,0.876,0.469,13
F,0.56,0.231,0.145,13
F,1.189,0.483,0.3645,13
M,0.6385,0.2305,0.195,13
M,1.116,0.4775,0.27,13
F,0.717,0.2115,0.255,13
F,0.868,0.33,0.21,13
M,1.388,0.567,0.41,13
M,2.21,1.351,0.5015,13
M,1.5715,0.6645,0.4505,13
M,0.9025,0.3805,0.28,13
F,0.584,0.224,0.185,13
F,0.908,0.381,0.315,13
M,1.325,0.6045,0.33,13
I,0.745,0.2865,0.235,13
M,1.221,0.535,0.395,13
M,1.2835,0.572,0.3545,13
M,1.218,0.5455,0.355,13
I,1.097,0.4215,0.335,13
M,1.74,0.7885,0.4865,13
I,0.4895,0.1735,0.2,13
M,0.9815,0.329,0.39,13
M,2.4925,1.1455,0.5235,13
M,0.5795,0.2145,0.195,13
M,0.5255,0.2025,0.145,13
M,1.5275,0.69,0.35,13
F,1.449,0.601,0.505,13
I,1.489,0.715,0.3615,13
M,1.1235,0.4205,0.36,13
I,0.659,0.2705,0.17,13
M,1.056,0.4215,0.34,13
M,1.523,0.693,0.4405,13
F,0.8085,0.273,0.295,13
F,1.1365,0.369,0.275,13
M,0.2145,0.1,0.06,13
F,1.0915,0.4365,0.335,13
M,1.8445,0.9815,0.341,13
I,0.967,0.3775,0.275,13
F,1.352,0.4505,0.53,13
F,1.222,0.53,0.28,13
I,0.366,0.122,0.12,13
F,0.768,0.2625,0.27,13
F,0.612,0.187,0.195,13
F,0.8285,0.3095,0.25,13
M,1.0765,0.412,0.3,13
M,0.825,0.254,0.285,13
F,1.551,0.7105,0.412,13
F,1.151,0.4365,0.3805,13
F,1.2785,0.5345,0.345,13
M,1.068,0.425,0.32,13
F,1.0385,0.414,0.305,13
M,0.592,0.2465,0.2,13
I,0.939,0.3385,0.32,13
F,1.8185,0.819,0.4525,13
M,0.696,0.2405,0.265,13
F,0.9845,0.442,0.2875,13
F,0.8075,0.322,0.25,13
M,1.2675,0.4995,0.38,13
F,1.366,0.5065,0.52,13
M,0.739,0.237,0.295,13
F,1.472,0.6275,0.45,13
F,1.129,0.4385,0.36,13
F,1.053,0.4405,0.39,13
I,0.515,0.175,0.212,13
F,2.037,0.87,0.5675,13
I,1.066,0.4335,0.33,13
F,1.406,0.519,0.37,13
M,0.9615,0.483,0.275,13
F,0.8025,0.313,0.263,13
F,0.8595,0.3195,0.24,13
F,2.226,0.8955,0.62,13
I,0.4935,0.216,0.115,13
M,1.229,0.4125,0.415,13
I,0.9885,0.4145,0.345,13
M,0.8465,0.336,0.245,13
M,2.0885,0.9955,0.5305,13
M,1.343,0.4635,0.4,13
F,1.146,0.477,0.39,13
M,0.625,0.223,0.235,13
F,0.8155,0.2985,0.275,13
F,1.285,0.416,0.485,13
I,0.66,0.267,0.22,13
F,1.359,0.642,0.405,13
I,0.425,0.16,0.154,13
M,1.0575,0.3925,0.293,13
M,0.6885,0.249,0.25,13
M,1.65,0.734,0.335,13
M,0.77,0.2735,0.255,13
F,0.8525,0.3465,0.295,13
F,1.5395,0.6075,0.4645,13
F,0.458,0.192,0.13,13
F,0.8325,0.2755,0.31,13
M,1.273,0.5065,0.405,13
F,1.707,0.6995,0.575,13
M,1.402,0.624,0.365,13
M,1.156,0.5525,0.295,13
F,1.2225,0.357,0.385,13
M,0.8915,0.3415,0.25,13
M,0.656,0.227,0.22,13
M,1.195,0.4825,0.4,13
F,0.487,0.194,0.125,13
M,1.115,0.4015,0.39,13
F,1.1845,0.4805,0.355,13
