@relation abalone

@attribute Sex {M,F,I}
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.675,0.5295,13
F,0.273,0.295,13
I,0.122,0.12,13
I,0.07,0.0425,5
I,0.077,0.0435,5
I,0.0585,0.0365,5
I,0.0545,0.0445,5
I,0.164,0.1015,5
I,0.1505,0.068,5
F,0.0845,0.055,5
I,0.065,0.0385,5
F,0.031,0.025,5
I,0.0805,0.058,5
I,0.058,0.05,5
I,0.079,0.05,5
I,0.09,0.055,5
I,0.066,0.03,5
I,0.008,0.008,5
I,0.026,0.016,5
I,0.026,0.02,5
I,0.027,0.0225,5
F,0.0515,0.04,5
I,0.0425,0.031,5
I,0.169,0.1,5
I,0.011,0.01,5
I,0.052,0.035,5
I,0.1205,0.0765,5
I,0.0605,0.045,5
I,0.019,0.013,5
I,0.057,0.044,5
I,0.0685,0.0465,5
I,0.074,0.06,5
I,0.04,0.025,5
I,0.0105,0.009,5
M,0.0415,0.035,5
M,0.0545,0.03,5
I,0.0265,0.0185,5
I,0.1445,0.082,5
I,0.072,0.033,5
I,0.096,0.061,5
I,0.039,0.035,5
I,0.037,0.045,5
M,0.009,0.0075,5
I,0.085,0.0585,5
M,0.035,0.03,5
I,0.039,0.025,5
I,0.0245,0.0225,5
I,0.044,0.033,5
I,0.0665,0.045,5
I,0.021,0.015,5
I,0.0205,0.0155,5
I,0.04,0.02,5
I,0.0605,0.045,5
I,0.034,0.035,5
I,0.0415,0.035,5
I,0.1385,0.077,5
I,0.009,0.009,5
I,0.0785,0.053,5
I,0.0415,0.034,5
I,0.017,0.015,5
F,0.104,0.07,5
I,0.076,0.045,5
I,0.056,0.05,5
I,0.0215,0.0215,5
I,0.0185,0.015,5
I,0.053,0.032,5
I,0.062,0.037,5
I,0.1225,0.0675,5
M,0.1395,0.095,5
I,0.0075,0.005,5
I,0.06,0.035,5
I,0.143,0.0765,5
I,0.0545,0.035,5
I,0.0115,0.01,5
M,0.037,0.03,5
I,0.041,0.034,5
I,0.08,0.047,5
I,0.1025,0.0655,5
I,0.044,0.038,5
I,0.039,0.034,5
I,0.028,0.0225,5
I,0.09,0.055,5
I,0.028,0.031,5
M,0.033,0.03,5
M,0.011,0.01,5
I,0.088,0.0495,5
I,0.096,0.0705,5
I,0.141,0.073,5
I,0.0315,0.02,5
I,0.0215,0.02,5
I,0.0255,0.012,5
I,0.025,0.021,5
I,0.0105,0.0125,5
I,0.0415,0.0335,5
I,0.495,0.0315,5
I,0.0425,0.03,5
I,0.073,0.06,5
I,0.0475,0.0285,5
I,0.0445,0.03,5
I,0.0385,0.027,5
I,0.059,0.0315,5
I,0.0345,0.025,5
I,0.0285,0.03,5
M,0.0145,0.01,5
I,0.0335,0.02,5
I,0.105,0.05,5
I,0.024,0.016,4
I,0.019,0.036,4
I,0.012,0.0095,4
I,0.0135,0.0095,4
I,0.0345,0.0215,4
I,0.021,0.0065,4
M,0.0095,0.005,4
I,0.019,0.017,4
I,0.012,0.005,4
I,0.0285,0.021,4
I,0.048,0.042,4
I,0.0175,0.015,4
M,0.06,0.045,4
I,0.0415,0.0305,4
I,0.013,0.01,4
I,0.0095,0.009,4
I,0.02,0.013,4
M,0.0095,0.008,4
I,0.0295,0.02,4
M,0.0245,0.02,4
M,0.0265,0.015,4
I,0.03,0.0215,4
I,0.051,0.0405,4
M,0.01,0.012,4
I,0.0125,0.011,4
I,0.0065,0.005,4
I,0.0075,0.005,4
I,0.0135,0.0105,4
I,0.042,0.025,4
I,0.0455,0.0345,4
I,0.0445,0.026,4
I,0.005,0.005,4
I,0.0075,0.006,4
I,0.034,0.0215,4
I,0.0215,0.015,4
I,0.0095,0.0085,4
I,0.005,0.0035,4
I,0.05,0.043,4
I,0.0875,0.064,4
I,0.0165,0.015,4
I,0.011,0.01,4
I,0.0055,0.005,4
I,0.0155,0.007,4
I,0.031,0.02,4
I,0.0345,0.0255,4
I,0.059,0.0305,4
I,0.0125,0.011,4
I,0.038,0.026,4
I,0.005,0.005,4
I,0.0235,0.018,4
I,0.0275,0.02,4
I,0.025,0.015,4
I,0.066,0.06,6
F,0.261,0.1385,6
I,0.17,0.09,6
I,0.1455,0.0805,6
I,0.1575,0.088,6
I,0.124,0.07,6
I,0.2075,0.147,6
I,0.102,0.085,6
M,0.1645,0.1025,6
I,0.167,0.0915,6
M,0.0725,0.05,6
I,0.1045,0.067,6
I,0.115,0.07,6
I,0.114,0.0975,6
I,0.065,0.0365,6
I,0.049,0.04,6
I,0.241,0.12,6
I,0.0725,0.055,6
I,0.1325,0.0615,6
M,0.282,0.155,6
I,0.106,0.21,6
I,0.108,0.07,6
I,0.056,0.03,6
I,0.0775,0.055,6
I,0.352,0.135,6
I,0.0585,0.041,6
I,0.0295,0.027,6
I,0.0785,0.054,6
I,0.048,0.04,6
I,0.1335,0.0935,6
M,0.0885,0.0715,6
I,0.0625,0.045,6
I,0.054,0.028,6
I,0.097,0.065,6
I,0.157,0.09,6
I,0.079,0.0505,6
I,0.126,0.1365,6
M,0.0445,0.03,6
I,0.14,0.0885,6
I,0.023,0.022,6
F,0.2025,0.1195,6
M,0.2165,0.11,6
I,0.0505,0.038,6
F,0.078,0.055,6
I,0.0755,0.07,6
I,0.0745,0.048,6
I,0.194,0.087,6
I,0.0205,0.019,6
I,0.026,0.025,6
I,0.027,0.018,6
M,0.0855,0.085,6
I,0.119,0.098,6
I,0.08,0.055,6
I,0.065,0.045,6
I,0.2965,0.1185,6
I,0.0695,0.0495,6
I,0.1,0.09,6
I,0.1375,0.075,6
I,0.166,0.1125,6
I,0.122,0.06,6
F,0.547,0.271,6
I,0.063,0.03,6
I,0.209,0.134,6
F,0.3545,0.225,6
I,0.0755,0.045,6
I,0.0155,0.01,6
I,0.0775,0.0445,6
I,0.0205,0.02,6
I,0.0595,0.06,6
I,0.0545,0.0355,6
I,0.2385,0.1075,6
I,0.175,0.093,6
I,0.1075,0.07,6
I,0.097,0.054,6
M,0.0385,0.03,6
F,0.076,0.05,6
I,0.0375,0.03,6
I,0.097,0.0615,6
M,0.08,0.055,6
I,0.0595,0.05,6
M,0.156,0.091,6
I,0.0575,0.3505,6
I,0.119,0.0675,6
I,0.093,0.072,6
I,0.2015,0.088,6
I,0.0735,0.0575,6
I,0.1095,0.062,6
I,0.052,0.0345,6
I,0.036,0.03,6
I,0.0255,0.025,6
I,0.1,0.086,6
I,0.116,0.0765,6
I,0.053,0.03,6
M,0.0835,0.07,6
I,0.064,0.045,6
I,0.075,0.062,6
I,0.16,0.102,6
F,0.3245,0.127,6
M,0.3145,0.1565,6
M,0.066,0.045,6
I,0.0925,0.055,6
I,0.1165,0.0635,6
F,0.237,0.13,6
I,0.242,0.109,6
I,0.0775,0.056,6
I,0.0835,0.041,6
I,0.254,0.097,6
I,0.081,0.053,6
F,0.3005,0.15,6
I,0.058,0.0505,6
I,0.127,0.077,6
M,0.3095,0.1835,6
I,0.1265,0.075,6
I,0.097,0.065,6
I,0.181,0.083,6
I,0.0745,0.0525,6
I,0.11,0.0775,6
I,0.051,0.027,6
I,0.1575,0.115,6
I,0.009,0.008,6
I,0.363,0.2515,6
I,0.05,0.0415,6
I,0.0165,0.0135,6
I,0.164,0.1,6
I,0.143,0.086,6
I,0.056,0.037,6
I,0.269,0.1305,6
M,0.09,0.07,6
I,0.2055,0.096,6
I,0.0815,0.06,6
I,0.079,0.054,6
I,0.2235,0.118,6
I,0.206,0.13,6
I,0.1125,0.067,6
I,0.115,0.055,6
I,0.0425,0.03,6
M,0.3205,0.17,6
I,0.1255,0.0645,6
I,0.123,0.08,6
I,0.039,0.025,6
I,0.138,0.0765,6
I,0.075,0.06,6
I,0.163,0.119,6
M,0.081,0.055,6
I,0.1335,0.105,6
I,0.11,0.0755,6
I,0.045,0.035,6
F,0.41,0.1505,6
I,0.19,0.1175,6
I,0.0675,0.045,6
I,0.084,0.055,6
I,0.0565,0.042,6
F,0.097,0.05,6
F,0.2025,0.1165,6
I,0.1945,0.098,6
I,0.0345,0.0245,6
I,0.185,0.11,6
I,0.096,0.08,6
I,0.065,0.039,6
I,0.132,0.106,6
I,0.13,0.094,6
I,0.063,0.045,6
I,0.1405,0.095,6
I,0.098,0.062,6
I,0.068,0.06,6
I,0.0565,0.09,6
I,0.095,0.07,6
I,0.1005,0.053,6
M,0.061,0.045,6
I,0.028,0.025,6
I,0.03,0.029,6
F,0.113,0.035,6
I,0.2645,0.1345,6
M,0.044,0.03,6
I,0.1065,0.062,6
I,0.1595,0.105,6
I,0.0585,0.0425,6
I,0.081,0.058,6
I,0.0915,0.063,6
I,0.219,0.0885,6
M,0.0995,0.065,6
I,0.1015,0.0825,6
I,0.1635,0.091,6
I,0.09,0.07,6
I,0.0675,0.0405,6
I,0.0945,0.075,6
I,0.075,0.0455,6
F,0.641,0.335,6
M,0.2485,0.1555,6
I,0.1,0.065,6
I,0.052,0.035,6
M,0.083,0.075,6
I,0.211,0.142,6
I,0.037,0.03,6
M,0.0465,0.04,6
I,0.1655,0.082,6
I,0.105,0.065,6
I,0.037,0.03,6
I,0.168,0.082,6
I,0.159,0.105,6
I,0.1005,0.0655,6
I,0.188,0.0825,6
I,0.093,0.0755,6
I,0.2355,0.1295,6
M,0.2485,0.131,6
I,0.047,0.0405,6
I,0.0675,0.0575,6
I,0.1385,0.085,6
I,0.1645,0.105,6
M,0.045,0.035,6
I,0.08,0.065,6
I,0.0515,0.035,6
I,0.196,0.15,6
I,0.3375,0.23,6
I,0.103,0.11,6
I,0.0715,0.046,6
F,0.23,0.1095,6
I,0.036,0.0245,6
I,0.0935,0.07,6
I,0.0925,0.075,6
I,0.229,0.1,6
M,0.2345,0.35,6
I,0.1255,0.088,6
I,0.076,0.055,6
I,0.0615,0.038,6
F,0.1115,0.08,6
I,0.1315,0.103,6
I,0.108,0.082,6
M,0.2925,0.1575,6
I,0.115,0.0945,6
I,0.1185,0.0945,6
I,0.1165,0.065,6
I,0.041,0.03,6
F,0.344,0.375,21
F,0.4635,0.39,21
M,0.408,0.58,21
M,0.515,0.57,21
I,0.3845,0.265,21
M,0.472,0.4,21
F,0.6275,0.47,21
M,0.545,0.465,21
F,0.595,0.725,21
F,0.165,0.205,21
M,0.637,0.58,21
F,0.358,0.445,21
M,0.387,0.35,17
F,0.7245,0.885,17
I,0.3685,0.375,17
F,0.2385,0.3,17
F,0.638,0.565,17
I,0.4285,0.264,17
F,0.1795,0.17,17
F,0.5095,0.51,17
I,0.41,0.37,17
F,0.242,0.205,17
M,0.735,0.6585,17
F,0.68,0.47,17
M,0.401,0.385,17
M,0.3905,0.4,17
M,0.959,0.601,17
F,0.3485,0.278,17
M,0.4835,0.41,17
M,0.3605,0.3,17
F,0.243,0.215,17
F,0.5015,0.515,17
F,0.336,0.295,17
F,0.488,0.345,17
M,0.312,0.315,17
F,0.637,0.525,17
I,0.5805,0.435,17
M,0.643,0.725,17
M,1.1465,0.897,17
M,0.391,0.25,17
I,0.398,0.25,17
M,0.5635,0.57,17
F,0.2795,0.26,17
M,0.4955,0.415,17
M,0.566,0.455,17
M,0.293,0.27,17
F,0.34,0.265,17
F,0.673,0.45,17
M,0.261,0.2645,17
I,0.495,0.33,17
M,0.6275,0.485,17
F,0.2405,0.205,17
M,0.9265,0.7,17
I,0.312,0.3,17
F,0.35,0.235,17
M,0.524,0.395,17
M,0.398,0.29,17
F,0.161,0.195,17
M,0.419,0.35,17
F,0.581,0.36,17
F,0.312,0.3,17
F,0.3785,0.305,17
F,0.501,0.41,17
F,0.5975,0.625,17
F,0.5775,0.475,17
F,0.158,0.245,22
M,0.2475,0.255,22
F,0.3325,0.27,22
M,0.7425,0.585,22
M,0.496,0.435,22
I,0.001,0.0015,1
I,0.0045,0.004,3
I,0.0235,0.014,3
I,0.0125,0.009,3
I,0.0075,0.014,3
I,0.0025,0.003,3
I,0.0055,0.004,3
I,0.015,0.0125,3
I,0.0065,0.005,3
M,0.0155,0.01,3
I,0.018,0.011,3
M,0.0085,0.01,3
I,0.007,0.005,3
M,0.0065,0.005,3
M,0.384,0.375,26
F,0.381,0.435,23
F,0.378,0.395,23
M,0.2515,0.3,23
F,0.933,0.62,23
F,0.25,0.265,23
F,0.241,0.24,23
M,0.4335,0.46,23
M,0.425,0.36,23
F,0.7055,0.475,29
I,0.0045,0.005,2
F,0.3245,0.525,27
M,0.7535,0.885,27
F,0.4265,0.51,25
F,0.6675,0.71,24
M,0.533,0.555,24
