@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.68,0.545,0.7075,11
M,0.675,0.505,0.74,11
M,0.64,0.505,0.5565,11
M,0.57,0.455,0.387,11
F,0.6,0.47,0.4655,11
M,0.645,0.5,0.633,11
I,0.565,0.43,0.332,11
M,0.53,0.42,0.319,11
F,0.65,0.5,0.694,11
M,0.6,0.46,0.456,11
M,0.545,0.45,0.387,11
F,0.725,0.6,0.697,11
I,0.49,0.38,0.2165,11
F,0.7,0.56,0.8605,11
M,0.565,0.39,0.352,11
F,0.665,0.52,0.7295,11
M,0.545,0.435,0.3685,11
F,0.505,0.41,0.285,11
I,0.445,0.345,0.1365,11
F,0.585,0.455,0.4255,11
F,0.545,0.41,0.2975,11
M,0.71,0.57,0.8985,11
M,0.715,0.55,0.938,11
F,0.625,0.49,0.5565,11
M,0.625,0.495,0.531,11
M,0.695,0.54,0.768,11
I,0.355,0.28,0.0935,11
M,0.63,0.495,0.605,11
M,0.655,0.52,0.7185,11
M,0.705,0.55,0.655,11
M,0.6,0.46,0.4455,11
F,0.63,0.51,0.5115,11
M,0.595,0.5,0.402,11
I,0.47,0.345,0.2005,11
F,0.62,0.485,0.531,11
M,0.5,0.385,0.2245,11
F,0.595,0.465,0.412,11
M,0.63,0.505,0.492,11
F,0.7,0.55,0.7535,11
M,0.625,0.49,0.4895,11
I,0.605,0.435,0.432,11
M,0.465,0.36,0.169,11
M,0.655,0.59,0.654,11
F,0.635,0.525,0.634,11
M,0.67,0.525,0.6205,11
M,0.49,0.395,0.2215,11
M,0.56,0.45,0.425,11
F,0.58,0.455,0.399,11
M,0.67,0.535,0.7465,11
M,0.465,0.35,0.2015,11
M,0.63,0.49,0.4935,11
M,0.645,0.52,0.779,11
F,0.68,0.52,0.615,11
M,0.65,0.525,0.5975,11
M,0.685,0.53,0.647,11
F,0.67,0.515,0.6605,11
F,0.78,0.63,1.488,11
F,0.73,0.58,0.6785,11
F,0.75,0.57,1.109,11
I,0.495,0.39,0.284,11
F,0.565,0.49,0.405,11
M,0.645,0.51,0.6405,11
M,0.675,0.515,0.556,11
F,0.65,0.59,0.77,11
F,0.655,0.54,0.695,11
F,0.525,0.41,0.293,11
M,0.5,0.41,0.2815,11
M,0.75,0.55,0.942,11
F,0.65,0.495,0.528,11
M,0.56,0.455,0.34,11
I,0.63,0.505,0.6025,11
F,0.625,0.515,0.4875,11
M,0.62,0.485,0.4655,11
F,0.705,0.56,0.607,11
I,0.58,0.425,0.379,11
F,0.69,0.535,0.797,11
F,0.66,0.505,0.69,11
I,0.62,0.47,0.447,11
M,0.72,0.56,0.691,11
F,0.755,0.625,1.1965,11
M,0.41,0.31,0.1415,11
I,0.62,0.49,0.446,11
F,0.51,0.34,0.312,11
F,0.645,0.505,0.55,11
I,0.625,0.485,0.5255,11
F,0.65,0.505,0.5725,11
M,0.38,0.285,0.115,11
F,0.54,0.42,0.369,11
M,0.505,0.39,0.2595,11
F,0.485,0.4,0.236,11
F,0.655,0.515,0.6195,11
F,0.445,0.355,0.181,11
I,0.55,0.445,0.3045,11
I,0.49,0.385,0.198,11
F,0.71,0.545,0.8725,11
M,0.58,0.47,0.3215,11
M,0.565,0.44,0.404,11
F,0.53,0.455,0.3155,11
F,0.63,0.515,0.553,11
M,0.625,0.485,0.5855,11
M,0.74,0.595,1.1495,11
F,0.625,0.505,0.5475,11
I,0.52,0.41,0.2775,11
M,0.63,0.48,0.6605,11
M,0.625,0.47,0.451,11
F,0.615,0.475,0.559,11
F,0.6,0.45,0.3425,11
M,0.6,0.46,0.285,11
I,0.565,0.43,0.321,11
F,0.66,0.525,0.6525,11
M,0.635,0.515,0.5385,11
M,0.55,0.45,0.378,11
M,0.61,0.47,0.565,11
F,0.52,0.405,0.2645,11
F,0.755,0.575,1.0135,11
I,0.51,0.405,0.229,11
M,0.56,0.435,0.36,11
M,0.65,0.525,0.675,11
M,0.665,0.525,0.6635,11
F,0.75,0.55,0.83,11
F,0.64,0.495,0.49,11
I,0.555,0.425,0.3695,11
M,0.56,0.455,0.4015,11
M,0.6,0.495,0.6195,11
M,0.67,0.5,0.576,11
F,0.725,0.56,0.873,11
M,0.455,0.35,0.1625,11
M,0.705,0.555,1.0465,11
F,0.73,0.56,0.799,11
M,0.7,0.555,0.73,11
I,0.46,0.35,0.193,11
F,0.63,0.48,0.5265,11
M,0.68,0.52,0.724,11
I,0.575,0.45,0.3375,11
M,0.5,0.42,0.255,11
F,0.5,0.375,0.185,11
F,0.625,0.49,0.7465,11
F,0.715,0.525,0.6655,11
M,0.73,0.575,0.9285,11
I,0.44,0.31,0.134,11
M,0.55,0.45,0.317,11
I,0.54,0.425,0.3675,11
F,0.56,0.44,0.3825,11
M,0.6,0.48,0.451,11
F,0.665,0.54,0.8505,11
F,0.61,0.45,0.389,11
M,0.72,0.585,0.9155,11
I,0.54,0.4,0.315,11
F,0.585,0.475,0.4145,11
I,0.59,0.46,0.419,11
I,0.55,0.42,0.2925,11
I,0.52,0.395,0.3155,11
F,0.595,0.43,0.653,11
M,0.695,0.55,0.727,11
F,0.61,0.49,0.7045,11
F,0.635,0.52,0.5065,11
M,0.65,0.525,0.6865,11
F,0.61,0.495,0.469,11
M,0.43,0.345,0.0925,11
F,0.59,0.415,0.3645,11
M,0.625,0.49,0.5275,11
F,0.55,0.43,0.289,11
F,0.615,0.49,0.4695,11
M,0.67,0.545,0.833,11
M,0.415,0.32,0.1215,11
F,0.655,0.5,0.6215,11
M,0.62,0.49,0.44,11
M,0.68,0.515,0.8415,11
F,0.545,0.415,0.2795,11
F,0.66,0.53,0.546,11
F,0.625,0.49,0.5895,11
F,0.655,0.545,0.6865,11
F,0.59,0.47,0.355,11
M,0.625,0.495,0.7105,11
F,0.63,0.475,0.536,11
M,0.66,0.515,0.749,11
M,0.655,0.54,0.6955,11
M,0.62,0.5,0.726,11
F,0.525,0.4,0.2555,11
F,0.63,0.495,0.599,11
F,0.52,0.43,0.302,11
M,0.615,0.495,0.435,11
M,0.52,0.42,0.255,11
F,0.735,0.6,1.1335,11
F,0.625,0.52,0.4845,11
M,0.57,0.455,0.3585,11
M,0.53,0.41,0.2805,11
M,0.72,0.565,1.0815,11
I,0.555,0.46,0.3845,11
F,0.635,0.505,0.594,11
F,0.425,0.345,0.125,11
F,0.685,0.565,0.7775,11
I,0.445,0.33,0.12,11
F,0.655,0.505,0.688,11
F,0.625,0.445,0.46,11
M,0.605,0.49,0.492,11
F,0.68,0.56,0.861,11
F,0.62,0.54,0.4995,11
F,0.75,0.565,0.7735,11
F,0.645,0.5,0.639,11
F,0.705,0.545,0.6435,11
M,0.64,0.525,0.763,11
M,0.63,0.485,0.5175,11
M,0.615,0.475,0.5995,11
M,0.525,0.4,0.2405,11
M,0.675,0.51,0.809,11
F,0.675,0.51,0.6295,11
M,0.605,0.47,0.6025,11
M,0.59,0.44,0.366,11
M,0.66,0.505,0.6775,11
F,0.71,0.565,0.785,11
M,0.77,0.605,0.8005,11
F,0.6,0.465,0.466,11
M,0.505,0.4,0.3035,11
F,0.68,0.56,0.58,11
F,0.68,0.55,0.713,11
M,0.67,0.52,0.711,11
M,0.65,0.525,0.665,11
F,0.565,0.45,0.37,11
F,0.71,0.56,0.735,11
M,0.68,0.54,0.5565,11
F,0.49,0.385,0.2175,11
M,0.78,0.6,1.1945,11
F,0.63,0.495,0.659,11
F,0.61,0.475,0.5195,11
F,0.475,0.38,0.167,11
I,0.58,0.445,0.383,11
F,0.67,0.52,0.758,11
M,0.665,0.505,0.6145,11
M,0.615,0.475,0.4375,11
M,0.48,0.375,0.2535,11
F,0.66,0.525,0.6525,11
M,0.71,0.575,0.9895,11
F,0.68,0.55,0.8225,11
M,0.685,0.535,0.637,11
M,0.71,0.565,1.012,11
F,0.7,0.575,0.7755,11
F,0.44,0.355,0.1585,11
M,0.315,0.25,0.0615,11
M,0.65,0.5,0.565,11
M,0.645,0.51,0.5755,11
F,0.64,0.485,0.6735,11
M,0.585,0.51,0.639,11
I,0.39,0.31,0.116,11
F,0.58,0.46,0.4625,11
I,0.56,0.44,0.3685,11
F,0.665,0.515,0.5595,11
F,0.49,0.37,0.171,11
I,0.53,0.42,0.3745,11
F,0.72,0.59,0.7755,11
F,0.545,0.43,0.2935,11
M,0.72,0.545,0.8215,11
M,0.655,0.525,0.686,11
I,0.56,0.435,0.329,11
I,0.56,0.445,0.4535,11
F,0.595,0.45,0.5865,11
F,0.61,0.47,0.566,11
M,0.49,0.38,0.2175,11
F,0.515,0.425,0.2665,11
M,0.58,0.46,0.48,11
M,0.6,0.495,0.606,11
F,0.725,0.57,0.744,11
F,0.625,0.49,0.465,11
M,0.71,0.555,1.2455,11
F,0.53,0.415,0.233,11
M,0.42,0.34,0.165,11
M,0.68,0.52,0.7525,11
F,0.635,0.495,0.556,11
M,0.745,0.565,0.896,11
F,0.62,0.51,0.594,11
I,0.52,0.41,0.242,11
I,0.66,0.525,0.6725,11
M,0.66,0.51,0.5055,11
F,0.555,0.425,0.282,11
I,0.55,0.43,0.3745,11
M,0.6,0.465,0.465,11
F,0.655,0.54,0.7285,11
M,0.615,0.47,0.4435,11
F,0.46,0.38,0.3,11
F,0.67,0.51,0.5605,11
M,0.67,0.525,0.682,11
M,0.63,0.49,0.535,11
F,0.47,0.375,0.232,11
I,0.53,0.395,0.2975,11
M,0.525,0.4,0.334,11
M,0.5,0.39,0.273,11
M,0.665,0.515,0.831,11
F,0.44,0.345,0.165,11
M,0.4,0.31,0.138,11
F,0.68,0.51,0.714,11
F,0.45,0.35,0.185,11
I,0.61,0.425,0.507,11
M,0.52,0.41,0.263,11
M,0.72,0.565,0.718,11
M,0.575,0.47,0.3485,11
M,0.59,0.465,0.5245,11
F,0.64,0.505,0.4835,12
M,0.575,0.45,0.3275,12
F,0.65,0.5,0.485,12
F,0.7,0.545,0.6725,12
F,0.52,0.41,0.291,12
F,0.615,0.495,0.5815,12
I,0.47,0.37,0.1845,12
M,0.725,0.505,1.026,12
M,0.415,0.315,0.068,12
M,0.61,0.48,0.6345,12
M,0.62,0.51,0.5105,12
M,0.45,0.36,0.174,12
F,0.635,0.51,0.526,12
F,0.44,0.345,0.15,12
M,0.53,0.435,0.3275,12
I,0.62,0.48,0.5285,12
M,0.585,0.455,0.5515,12
M,0.55,0.45,0.343,12
F,0.66,0.535,0.711,12
M,0.58,0.465,0.315,12
F,0.62,0.48,0.582,12
I,0.435,0.33,0.1685,12
F,0.68,0.5,0.7665,12
M,0.74,0.58,0.8155,12
M,0.525,0.425,0.3335,12
M,0.505,0.385,0.246,12
I,0.56,0.44,0.335,12
F,0.505,0.38,0.2935,12
F,0.63,0.48,0.392,12
F,0.75,0.615,0.821,12
M,0.735,0.555,1.2395,12
F,0.57,0.45,0.3965,12
F,0.61,0.48,0.5215,12
I,0.375,0.28,0.1165,12
F,0.47,0.355,0.1525,12
F,0.645,0.485,0.5935,12
M,0.69,0.525,0.9165,12
F,0.58,0.44,0.3665,12
F,0.72,0.565,0.723,12
F,0.515,0.435,0.2765,12
M,0.68,0.535,0.7245,12
I,0.55,0.42,0.3995,12
F,0.48,0.38,0.232,12
M,0.715,0.55,1.0465,12
F,0.585,0.455,0.345,12
F,0.525,0.44,0.3685,12
M,0.645,0.5,0.5645,12
F,0.38,0.305,0.1045,12
M,0.595,0.47,0.382,12
M,0.77,0.62,1.1155,12
M,0.61,0.5,0.4915,12
I,0.44,0.35,0.1815,12
M,0.485,0.385,0.2,12
F,0.53,0.4,0.2855,12
M,0.46,0.355,0.215,12
F,0.59,0.455,0.38,12
M,0.635,0.5,0.6535,12
F,0.735,0.565,0.949,12
F,0.505,0.385,0.251,12
F,0.595,0.455,0.5135,12
M,0.63,0.49,0.407,12
F,0.61,0.49,0.4605,12
M,0.495,0.38,0.263,12
F,0.525,0.43,0.3315,12
M,0.645,0.5,0.6735,12
F,0.48,0.39,0.219,12
M,0.61,0.485,0.544,12
F,0.565,0.45,0.302,12
M,0.7,0.575,1.095,12
M,0.41,0.325,0.158,12
F,0.45,0.36,0.203,12
M,0.575,0.45,0.342,12
M,0.505,0.405,0.2665,12
F,0.515,0.395,0.281,12
F,0.625,0.48,0.5865,12
M,0.65,0.51,0.6345,12
M,0.62,0.485,0.425,12
M,0.47,0.375,0.226,12
F,0.61,0.495,0.3705,12
F,0.49,0.39,0.215,12
M,0.645,0.495,0.6115,12
M,0.595,0.47,0.359,12
M,0.63,0.48,0.4235,12
M,0.635,0.5,0.611,12
M,0.395,0.28,0.0995,12
F,0.645,0.52,0.58,12
F,0.57,0.44,0.3675,12
F,0.74,0.565,0.9655,12
F,0.68,0.515,0.5125,12
M,0.665,0.515,0.5115,12
F,0.705,0.535,0.693,12
F,0.67,0.53,0.643,12
M,0.57,0.46,0.4465,12
F,0.62,0.515,0.6685,12
M,0.63,0.485,0.5065,12
M,0.5,0.4,0.258,12
M,0.46,0.375,0.186,12
F,0.67,0.525,0.5755,12
M,0.63,0.49,0.458,12
M,0.565,0.425,0.3055,12
M,0.72,0.565,1.017,12
M,0.605,0.5,0.4765,12
F,0.73,0.575,0.931,12
M,0.51,0.395,0.216,12
M,0.385,0.285,0.1215,12
I,0.57,0.445,0.306,12
F,0.67,0.55,0.5425,12
M,0.675,0.54,0.6645,12
F,0.585,0.475,0.3465,12
M,0.695,0.525,0.696,12
F,0.505,0.375,0.2325,12
F,0.71,0.53,0.6755,12
F,0.475,0.375,0.1955,12
M,0.395,0.295,0.1205,12
F,0.565,0.44,0.4275,12
F,0.61,0.47,0.426,12
M,0.54,0.415,0.2635,12
M,0.535,0.42,0.2575,12
M,0.455,0.345,0.169,12
F,0.605,0.47,0.5405,12
M,0.55,0.41,0.282,12
M,0.65,0.51,0.6485,12
M,0.65,0.515,0.75,12
M,0.59,0.445,0.356,12
F,0.565,0.45,0.3605,12
F,0.635,0.5,0.684,12
I,0.515,0.39,0.2,12
M,0.665,0.525,0.6715,12
M,0.48,0.38,0.3,12
F,0.5,0.385,0.2945,12
M,0.535,0.44,0.256,12
F,0.5,0.405,0.253,12
M,0.52,0.4,0.2745,12
M,0.62,0.48,0.6285,12
F,0.74,0.575,0.8915,12
M,0.67,0.505,0.6255,12
F,0.45,0.345,0.1905,12
M,0.69,0.53,0.7355,12
F,0.615,0.475,0.4905,12
F,0.65,0.565,0.753,12
F,0.48,0.38,0.1915,12
I,0.435,0.335,0.1555,12
F,0.49,0.38,0.229,12
M,0.72,0.6,0.984,12
M,0.62,0.465,0.579,12
F,0.675,0.565,0.7645,12
M,0.72,0.575,0.9515,12
F,0.61,0.485,0.6025,12
M,0.63,0.495,0.497,12
M,0.6,0.45,0.3695,12
F,0.705,0.57,0.96,12
F,0.575,0.45,0.447,12
F,0.57,0.465,0.339,12
M,0.605,0.47,0.4975,12
I,0.415,0.325,0.1405,12
F,0.595,0.465,0.402,12
F,0.595,0.465,0.4645,12
M,0.63,0.505,0.555,12
F,0.48,0.375,0.2185,12
M,0.735,0.59,0.909,12
F,0.69,0.54,0.73,12
M,0.555,0.44,0.307,12
F,0.71,0.555,0.5375,12
F,0.505,0.39,0.267,12
I,0.5,0.38,0.2745,12
M,0.615,0.505,0.5315,12
M,0.5,0.38,0.2135,12
M,0.505,0.395,0.288,12
M,0.75,0.595,1.083,12
F,0.525,0.41,0.274,12
M,0.5,0.38,0.2295,12
F,0.705,0.555,0.7105,12
I,0.55,0.415,0.2985,12
F,0.645,0.51,0.7815,12
F,0.64,0.5,0.4955,12
F,0.655,0.505,0.5935,12
I,0.485,0.355,0.245,12
F,0.56,0.46,0.342,12
F,0.675,0.525,0.784,12
F,0.66,0.53,0.493,12
F,0.69,0.525,0.6425,12
I,0.62,0.485,0.4935,12
F,0.61,0.47,0.469,12
F,0.525,0.405,0.2655,12
F,0.645,0.48,0.6925,12
M,0.68,0.54,0.7165,12
F,0.72,0.575,0.732,12
F,0.565,0.45,0.387,12
I,0.625,0.47,0.643,12
M,0.64,0.585,0.7225,12
M,0.625,0.5,0.645,12
M,0.525,0.415,0.26,12
F,0.63,0.505,0.4595,12
M,0.63,0.47,0.539,12
F,0.585,0.415,0.3,12
F,0.52,0.41,0.2855,12
F,0.67,0.525,0.6065,12
M,0.605,0.445,0.4295,12
I,0.625,0.43,0.572,12
F,0.595,0.465,0.5175,12
F,0.62,0.5,0.4985,12
M,0.6,0.475,0.5045,12
F,0.615,0.5,0.5585,12
F,0.71,0.57,0.9925,12
F,0.61,0.48,0.598,12
F,0.405,0.325,0.145,12
F,0.585,0.465,0.3865,12
F,0.565,0.44,0.354,12
I,0.56,0.44,0.3545,12
F,0.475,0.365,0.1905,12
M,0.775,0.63,1.3485,12
M,0.5,0.405,0.346,12
M,0.765,0.6,1.007,12
F,0.66,0.5,0.4585,12
M,0.57,0.45,0.3725,12
M,0.54,0.42,0.3515,12
F,0.565,0.45,0.322,12
F,0.72,0.575,0.8565,12
F,0.64,0.51,0.61,12
F,0.59,0.465,0.392,12
M,0.47,0.37,0.222,12
M,0.61,0.485,0.419,12
I,0.605,0.495,0.369,12
M,0.7,0.55,0.6565,12
M,0.59,0.46,0.455,12
M,0.715,0.52,0.708,12
M,0.665,0.52,0.606,12
F,0.565,0.505,0.501,12
M,0.62,0.51,0.4375,12
M,0.745,0.575,0.954,12
F,0.655,0.5,0.5405,12
F,0.415,0.325,0.1595,12
F,0.66,0.5,0.6485,12
F,0.645,0.51,0.621,12
F,0.51,0.395,0.262,12
I,0.45,0.36,0.191,12
M,0.52,0.385,0.2385,12
M,0.645,0.51,0.6445,12
M,0.505,0.4,0.2715,12
M,0.605,0.475,0.5495,18
M,0.71,0.54,0.7665,18
M,0.635,0.51,0.428,18
I,0.485,0.38,0.2175,18
F,0.575,0.45,0.3775,18
F,0.6,0.475,0.511,18
I,0.525,0.41,0.3585,18
F,0.64,0.54,0.627,18
M,0.565,0.455,0.342,18
F,0.565,0.455,0.365,18
F,0.635,0.5,0.529,18
F,0.5,0.405,0.265,18
F,0.565,0.48,0.3885,18
F,0.57,0.45,0.38,18
M,0.645,0.485,0.5915,18
M,0.545,0.41,0.3035,18
I,0.58,0.49,0.5305,18
F,0.725,0.56,0.65,18
F,0.61,0.485,0.3935,18
F,0.545,0.405,0.2585,18
M,0.615,0.48,0.5305,18
F,0.58,0.455,0.315,18
M,0.605,0.49,0.48,18
F,0.655,0.5,0.508,18
F,0.655,0.53,0.493,18
M,0.665,0.525,0.5515,18
F,0.745,0.585,0.8435,18
M,0.525,0.425,0.2825,18
M,0.425,0.315,0.1135,18
M,0.57,0.475,0.4635,18
M,0.66,0.505,0.4865,18
F,0.645,0.525,0.7035,18
F,0.645,0.49,0.479,18
I,0.65,0.525,0.597,18
M,0.7,0.53,0.548,18
M,0.48,0.395,0.2145,18
F,0.465,0.35,0.1945,18
M,0.52,0.435,0.2985,18
F,0.665,0.57,0.6965,13
M,0.555,0.425,0.264,13
F,0.51,0.38,0.224,13
M,0.71,0.55,0.882,13
M,0.55,0.42,0.336,13
F,0.555,0.42,0.33,13
M,0.68,0.54,0.8345,13
M,0.71,0.56,0.566,13
M,0.695,0.545,0.6645,13
F,0.475,0.35,0.194,13
I,0.635,0.5,0.715,13
F,0.645,0.5,0.4805,13
F,0.595,0.495,0.416,13
F,0.43,0.335,0.155,13
M,0.615,0.48,0.4845,13
I,0.62,0.485,0.4675,13
M,0.72,0.58,0.9955,13
M,0.64,0.5,0.5065,13
I,0.575,0.455,0.3015,13
M,0.35,0.255,0.1,13
M,0.545,0.41,0.223,13
F,0.675,0.555,0.713,13
I,0.51,0.4,0.2865,13
I,0.615,0.49,0.4145,13
M,0.545,0.42,0.353,13
M,0.575,0.455,0.5525,13
F,0.45,0.35,0.1765,13
M,0.535,0.405,0.548,13
F,0.595,0.495,0.5065,13
F,0.515,0.415,0.276,13
F,0.645,0.525,0.601,13
M,0.5,0.4,0.254,13
F,0.66,0.53,0.519,13
F,0.675,0.55,0.7105,13
M,0.65,0.525,0.69,13
F,0.58,0.455,0.369,13
F,0.62,0.5,0.477,13
F,0.545,0.445,0.3465,13
M,0.74,0.535,0.734,13
M,0.575,0.47,0.4515,13
F,0.52,0.425,0.207,13
F,0.72,0.575,0.913,13
F,0.605,0.45,0.357,13
F,0.59,0.475,0.4775,13
F,0.475,0.4,0.186,13
F,0.67,0.52,0.519,13
M,0.515,0.4,0.341,13
F,0.59,0.485,0.4525,13
F,0.55,0.41,0.3095,13
M,0.7,0.55,0.675,13
M,0.675,0.545,0.876,13
I,0.43,0.325,0.1355,13
F,0.465,0.39,0.1815,13
M,0.545,0.42,0.374,13
F,0.56,0.43,0.313,13
I,0.61,0.48,0.4215,13
F,0.605,0.45,0.481,13
M,0.5,0.415,0.249,13
M,0.57,0.415,0.4275,13
F,0.51,0.39,0.187,13
I,0.46,0.355,0.216,13
F,0.585,0.42,0.442,13
M,0.525,0.405,0.316,13
M,0.59,0.47,0.4205,13
I,0.425,0.345,0.16,13
F,0.655,0.5,0.642,13
F,0.695,0.525,0.819,13
M,0.49,0.39,0.2795,13
F,0.46,0.355,0.192,13
F,0.625,0.525,0.4505,13
M,0.455,0.345,0.1685,13
F,0.56,0.435,0.3345,13
I,0.49,0.385,0.3265,13
M,0.57,0.44,0.4775,13
F,0.605,0.485,0.53,13
F,0.585,0.465,0.381,13
F,0.53,0.435,0.2985,13
I,0.605,0.47,0.3385,13
I,0.48,0.37,0.2075,13
M,0.415,0.345,0.128,13
F,0.7,0.575,0.605,13
F,0.45,0.36,0.2035,13
F,0.535,0.45,0.322,13
F,0.735,0.565,0.87,13
M,0.57,0.42,0.377,13
M,0.655,0.535,0.7305,13
M,0.59,0.475,0.356,13
M,0.495,0.415,0.264,13
F,0.64,0.475,0.4365,13
F,0.595,0.5,0.4405,13
F,0.5,0.385,0.2625,13
I,0.515,0.4,0.2705,13
M,0.505,0.4,0.2735,13
F,0.655,0.52,0.6275,13
F,0.525,0.415,0.2355,13
I,0.515,0.42,0.337,13
F,0.66,0.525,0.4975,13
M,0.565,0.435,0.329,13
M,0.69,0.515,0.9815,13
M,0.515,0.42,0.2505,13
F,0.695,0.55,0.694,13
M,0.625,0.465,0.4825,13
M,0.65,0.515,0.5665,13
I,0.445,0.33,0.163,13
F,0.7,0.575,0.7295,13
F,0.5,0.4,0.273,13
F,0.53,0.425,0.2115,13
M,0.555,0.445,0.336,13
M,0.74,0.605,1.1455,13
F,0.69,0.545,0.7855,13
F,0.58,0.475,0.414,13
F,0.67,0.52,0.5235,13
I,0.32,0.245,0.0635,13
M,0.67,0.51,0.926,13
M,0.475,0.395,0.2465,13
M,0.62,0.49,0.5185,13
F,0.645,0.5,0.5345,13
I,0.44,0.345,0.122,13
F,0.705,0.55,0.633,13
M,0.535,0.435,0.3415,13
F,0.575,0.46,0.392,13
M,0.55,0.435,0.342,13
M,0.685,0.52,0.4635,13
M,0.62,0.505,0.69,13
M,0.675,0.525,0.6935,13
M,0.55,0.43,0.317,13
M,0.695,0.58,0.675,13
M,0.55,0.425,0.2775,13
M,0.605,0.465,0.4215,13
I,0.495,0.38,0.175,13
F,0.625,0.475,0.3195,13
M,0.555,0.43,0.2735,13
M,0.655,0.525,0.624,13
F,0.435,0.35,0.143,13
M,0.7,0.55,0.693,13
F,0.62,0.51,0.581,13
M,0.58,0.46,0.357,13
F,0.54,0.435,0.322,13
F,0.705,0.545,0.6075,13
I,0.615,0.46,0.4335,13
M,0.49,0.38,0.2305,13
M,0.485,0.41,0.2405,13
F,0.62,0.485,0.483,13
M,0.595,0.465,0.4015,13
M,0.58,0.45,0.425,13
F,0.485,0.375,0.2385,13
F,0.605,0.495,0.4365,13
M,0.72,0.55,1.1455,13
F,0.525,0.415,0.2755,13
M,0.455,0.355,0.1865,13
F,0.535,0.4,0.3345,13
I,0.52,0.4,0.267,13
F,0.455,0.365,0.166,13
M,0.53,0.425,0.237,13
M,0.47,0.375,0.2145,13
F,0.49,0.4,0.21,13
M,0.555,0.455,0.3925,13
F,0.575,0.46,0.2985,13
M,0.56,0.41,0.3505,13
M,0.62,0.475,0.6045,13
I,0.44,0.34,0.1735,13
F,0.39,0.3,0.1075,13
M,0.525,0.41,0.2635,13
I,0.575,0.475,0.3775,13
M,0.62,0.48,0.412,13
M,0.695,0.55,0.566,13
M,0.655,0.53,0.567,13
F,0.405,0.31,0.138,13
M,0.6,0.485,0.4995,13
F,0.67,0.545,0.6995,13
F,0.59,0.465,0.506,13
F,0.65,0.515,0.5195,13
M,0.675,0.525,0.572,13
F,0.675,0.55,0.694,13
F,0.605,0.46,0.347,13
F,0.59,0.445,0.3825,13
F,0.51,0.4,0.219,13
M,0.575,0.44,0.483,13
F,0.49,0.39,0.2465,13
F,0.72,0.575,0.8955,13
M,0.725,0.575,1.351,13
M,0.6,0.48,0.4125,13
M,0.465,0.355,0.2025,13
I,0.265,0.21,0.0425,5
I,0.26,0.215,0.037,5
M,0.275,0.2,0.037,5
I,0.16,0.12,0.0075,5
I,0.275,0.205,0.041,5
I,0.285,0.21,0.044,5
I,0.24,0.175,0.0315,5
I,0.175,0.125,0.008,5
M,0.255,0.18,0.034,5
I,0.36,0.26,0.074,5
I,0.28,0.21,0.0415,5
I,0.305,0.22,0.062,5
I,0.255,0.19,0.04,5
I,0.205,0.15,0.0255,5
I,0.25,0.185,0.0295,5
I,0.25,0.19,0.039,5
I,0.29,0.215,0.0425,5
I,0.4,0.29,0.1205,5
I,0.35,0.26,0.09,5
I,0.305,0.215,0.044,5
I,0.315,0.235,0.08,5
I,0.285,0.205,0.039,5
I,0.315,0.21,0.06,5
I,0.235,0.175,0.0335,5
I,0.33,0.205,0.077,5
I,0.395,0.295,0.143,5
I,0.235,0.13,0.0685,5
I,0.265,0.205,0.039,5
I,0.3,0.225,0.057,5
F,0.275,0.195,0.031,5
I,0.28,0.2,0.0545,5
I,0.3,0.23,0.0605,5
I,0.23,0.175,0.026,5
I,0.275,0.205,0.495,5
I,0.275,0.2,0.0385,5
M,0.285,0.215,0.0415,5
I,0.3,0.22,0.0475,5
I,0.27,0.19,0.0445,5
I,0.23,0.18,0.0215,5
I,0.235,0.16,0.0185,5
I,0.24,0.175,0.025,5
I,0.3,0.22,0.059,5
I,0.235,0.175,0.0215,5
I,0.375,0.265,0.085,5
I,0.185,0.135,0.0105,5
I,0.395,0.27,0.1445,5
I,0.28,0.21,0.0415,5
M,0.175,0.135,0.011,5
I,0.33,0.25,0.056,5
I,0.285,0.22,0.0405,5
M,0.28,0.205,0.0545,5
I,0.315,0.23,0.046,5
I,0.23,0.17,0.026,5
I,0.255,0.19,0.0345,5
I,0.255,0.19,0.028,5
I,0.35,0.265,0.073,5
I,0.18,0.135,0.0145,5
I,0.215,0.15,0.0115,5
I,0.22,0.165,0.0215,5
I,0.32,0.235,0.058,5
I,0.25,0.18,0.028,5
M,0.155,0.115,0.009,5
I,0.245,0.175,0.04,5
I,0.295,0.23,0.065,5
I,0.255,0.185,0.0365,5
I,0.37,0.28,0.0805,5
I,0.34,0.265,0.09,5
I,0.25,0.185,0.027,5
I,0.3,0.22,0.052,5
I,0.21,0.15,0.017,5
I,0.215,0.165,0.0265,5
I,0.19,0.13,0.009,5
I,0.325,0.245,0.0605,5
M,0.375,0.305,0.1395,5
I,0.395,0.3,0.1385,5
F,0.29,0.225,0.0515,5
I,0.175,0.13,0.0105,5
I,0.27,0.195,0.0285,5
I,0.25,0.18,0.0245,5
I,0.28,0.22,0.066,5
I,0.34,0.25,0.0665,5
I,0.21,0.17,0.019,5
M,0.28,0.21,0.035,5
M,0.28,0.2,0.033,5
