@relation abalone

@attribute Sex {M,F,I}
@attribute Length numeric
@attribute Diameter numeric
@attribute Height numeric
@attribute Whole_weight numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
F,0.48,0.365,0.135,0.6395,0.2945,8
I,0.48,0.35,0.135,0.5465,0.2735,8
M,0.505,0.39,0.115,0.5585,0.2575,8
I,0.5,0.4,0.12,0.616,0.261,8
I,0.41,0.325,0.11,0.326,0.1325,8
I,0.495,0.38,0.145,0.5,0.205,8
F,0.425,0.33,0.115,0.406,0.1635,8
I,0.45,0.355,0.105,0.4445,0.197,8
I,0.51,0.405,0.125,0.6795,0.3465,8
I,0.335,0.26,0.1,0.192,0.0785,8
I,0.455,0.325,0.135,0.82,0.4005,8
I,0.47,0.345,0.12,0.3685,0.1525,8
M,0.58,0.45,0.12,0.8685,0.418,8
I,0.47,0.365,0.1,0.411,0.175,8
I,0.505,0.405,0.13,0.6015,0.3015,8
F,0.6,0.46,0.145,0.9325,0.3985,8
I,0.475,0.42,0.16,0.7095,0.35,8
I,0.33,0.255,0.085,0.1655,0.063,8
M,0.495,0.395,0.12,0.553,0.224,8
M,0.515,0.39,0.12,0.6125,0.302,8
F,0.57,0.425,0.13,0.782,0.3695,8
M,0.565,0.455,0.15,0.9795,0.444,8
I,0.485,0.37,0.14,0.5065,0.2425,8
M,0.45,0.35,0.13,0.46,0.174,8
I,0.405,0.31,0.09,0.312,0.138,8
M,0.45,0.35,0.13,0.4655,0.2075,8
I,0.435,0.33,0.105,0.335,0.156,8
M,0.55,0.44,0.16,0.985,0.4645,8
M,0.41,0.335,0.115,0.4405,0.19,8
I,0.47,0.375,0.125,0.5225,0.2265,8
F,0.52,0.375,0.135,0.5375,0.221,8
I,0.47,0.37,0.11,0.5555,0.25,8
I,0.525,0.395,0.12,0.608,0.297,8
I,0.45,0.34,0.125,0.4045,0.171,8
F,0.37,0.275,0.1,0.2225,0.093,8
M,0.63,0.465,0.15,1.027,0.537,8
F,0.4,0.3,0.115,0.3025,0.1335,8
I,0.3,0.23,0.08,0.1275,0.0435,8
M,0.47,0.35,0.1,0.4775,0.1885,8
I,0.45,0.33,0.115,0.365,0.14,8
M,0.62,0.47,0.135,1.0195,0.5315,8
M,0.595,0.485,0.15,1.0835,0.5305,8
I,0.495,0.375,0.115,0.5755,0.31,8
I,0.49,0.375,0.115,0.4615,0.204,8
I,0.52,0.4,0.11,0.597,0.2935,8
I,0.53,0.4,0.125,0.617,0.279,8
M,0.46,0.345,0.12,0.4935,0.2435,8
F,0.595,0.465,0.15,1.1005,0.5415,8
M,0.475,0.355,0.12,0.48,0.234,8
I,0.52,0.38,0.13,0.5345,0.2375,8
I,0.425,0.3,0.095,0.3515,0.141,8
I,0.525,0.4,0.13,0.6455,0.325,8
I,0.585,0.45,0.15,0.8915,0.3975,8
I,0.535,0.385,0.18,1.0835,0.4955,8
F,0.62,0.48,0.16,1.1125,0.5635,8
F,0.455,0.365,0.115,0.4305,0.184,8
I,0.54,0.425,0.135,0.686,0.3475,8
M,0.6,0.455,0.17,1.1915,0.696,8
I,0.515,0.395,0.125,0.556,0.2695,8
I,0.48,0.365,0.1,0.461,0.2205,8
M,0.585,0.455,0.15,0.906,0.4095,8
I,0.485,0.365,0.105,0.5205,0.195,8
M,0.525,0.405,0.13,0.7185,0.3265,8
F,0.56,0.44,0.155,0.6405,0.336,8
I,0.55,0.42,0.13,0.636,0.294,8
F,0.58,0.445,0.135,0.95,0.484,8
I,0.525,0.4,0.125,0.5655,0.2435,8
I,0.53,0.395,0.115,0.475,0.2025,8
M,0.555,0.435,0.145,0.9205,0.404,8
I,0.43,0.34,0,0.428,0.2065,8
F,0.4,0.325,0.12,0.3185,0.134,8
M,0.485,0.365,0.155,1.029,0.4235,8
F,0.645,0.49,0.16,1.144,0.5015,8
F,0.61,0.495,0.185,1.153,0.536,8
M,0.445,0.35,0.115,0.3615,0.1565,8
I,0.525,0.38,0.135,0.615,0.261,8
F,0.595,0.435,0.15,0.9,0.4175,8
M,0.555,0.435,0.14,0.7495,0.341,8
F,0.53,0.42,0.14,0.627,0.2905,8
I,0.475,0.355,0.1,0.5035,0.2535,8
I,0.52,0.38,0.125,0.5545,0.288,8
M,0.65,0.5,0.14,1.238,0.6165,8
F,0.59,0.455,0.145,1.063,0.5155,8
M,0.665,0.525,0.16,1.363,0.629,8
I,0.41,0.3,0.09,0.28,0.141,8
M,0.485,0.39,0.12,0.599,0.251,8
M,0.47,0.375,0.12,0.5805,0.266,8
M,0.6,0.41,0.145,0.939,0.4475,8
I,0.495,0.4,0.145,0.578,0.2545,8
I,0.375,0.285,0.09,0.237,0.106,8
I,0.475,0.365,0.14,0.4545,0.171,8
I,0.44,0.34,0.105,0.344,0.123,8
M,0.555,0.41,0.125,0.599,0.2345,8
I,0.295,0.215,0.075,0.116,0.037,8
F,0.62,0.435,0.155,1.012,0.477,8
I,0.6,0.48,0.17,0.9175,0.38,8
M,0.485,0.39,0.135,0.617,0.25,8
F,0.6,0.5,0.155,1.332,0.6235,8
I,0.575,0.455,0.155,0.8725,0.349,8
M,0.525,0.385,0.1,0.5115,0.246,8
M,0.6,0.47,0.15,0.928,0.4225,8
I,0.465,0.355,0.12,0.4975,0.2375,8
M,0.505,0.365,0.115,0.521,0.25,8
M,0.515,0.39,0.14,0.678,0.341,8
M,0.59,0.44,0.15,0.8725,0.387,8
M,0.535,0.43,0.14,0.7165,0.2855,8
I,0.52,0.4,0.14,0.622,0.278,8
F,0.4,0.32,0.11,0.353,0.1405,8
M,0.475,0.385,0.12,0.562,0.289,8
I,0.505,0.395,0.105,0.551,0.248,8
M,0.48,0.37,0.13,0.643,0.349,8
I,0.49,0.375,0.115,0.557,0.2275,8
I,0.42,0.32,0.1,0.34,0.1745,8
I,0.5,0.375,0.12,0.529,0.2235,8
M,0.48,0.355,0.16,0.464,0.221,8
F,0.47,0.36,0.1,0.4705,0.1635,8
I,0.455,0.345,0.105,0.4005,0.164,8
M,0.38,0.3,0.1,0.2505,0.106,8
F,0.565,0.45,0.145,0.8495,0.4215,8
F,0.58,0.48,0.18,1.2495,0.4945,8
I,0.475,0.38,0.12,0.441,0.1785,8
I,0.525,0.39,0.105,0.567,0.2875,8
I,0.55,0.425,0.15,0.7665,0.339,8
I,0.505,0.39,0.15,0.685,0.362,8
I,0.47,0.375,0.12,0.487,0.196,8
M,0.515,0.395,0.135,1.007,0.472,8
I,0.425,0.34,0.1,0.371,0.15,8
M,0.61,0.48,0.15,1.1495,0.564,8
I,0.425,0.32,0.085,0.262,0.1235,8
I,0.575,0.44,0.15,0.983,0.486,8
F,0.36,0.265,0.09,0.2065,0.078,8
M,0.625,0.48,0.185,1.2065,0.587,8
F,0.63,0.475,0.15,1.072,0.433,8
I,0.545,0.405,0.13,0.658,0.327,8
I,0.29,0.225,0.07,0.101,0.036,8
I,0.405,0.31,0.095,0.3425,0.1785,8
M,0.545,0.45,0.15,0.7805,0.3795,8
I,0.51,0.405,0.13,0.599,0.3065,8
M,0.47,0.38,0.145,0.5865,0.2385,8
M,0.53,0.41,0.14,0.7545,0.3495,8
M,0.61,0.48,0.165,1.2435,0.5575,8
I,0.46,0.35,0.1,0.471,0.252,8
I,0.51,0.395,0.105,0.5525,0.234,8
I,0.4,0.315,0.09,0.3245,0.151,8
M,0.44,0.32,0.12,0.4565,0.2435,8
M,0.58,0.455,0.15,1.114,0.4765,8
F,0.505,0.39,0.12,0.5725,0.2555,8
F,0.585,0.45,0.16,0.9045,0.405,8
I,0.47,0.355,0.18,0.48,0.2055,8
F,0.575,0.425,0.15,0.8765,0.455,8
M,0.515,0.385,0.11,0.5785,0.253,8
M,0.415,0.315,0.12,0.4015,0.199,8
I,0.415,0.31,0.095,0.311,0.1125,8
I,0.41,0.315,0.1,0.3,0.124,8
I,0.48,0.355,0.11,0.4495,0.201,8
I,0.525,0.4,0.11,0.6275,0.3015,8
I,0.495,0.375,0.14,0.494,0.181,8
I,0.49,0.37,0.11,0.538,0.271,8
F,0.64,0.475,0.14,1.0725,0.4895,8
I,0.515,0.39,0.125,0.5705,0.238,8
M,0.62,0.45,0.2,0.858,0.4285,8
F,0.44,0.34,0.105,0.364,0.148,8
I,0.325,0.24,0.07,0.152,0.0565,8
I,0.405,0.31,0.11,0.91,0.416,8
I,0.485,0.365,0.14,0.4475,0.1895,8
I,0.495,0.37,0.125,0.4715,0.2075,8
I,0.315,0.245,0.085,0.1435,0.053,8
I,0.36,0.27,0.09,0.232,0.12,8
F,0.6,0.465,0.15,1.1025,0.5455,8
I,0.495,0.375,0.12,0.589,0.3075,8
F,0.585,0.455,0.13,0.8755,0.411,8
M,0.59,0.47,0.16,1.206,0.479,8
I,0.44,0.325,0.11,0.4965,0.258,8
I,0.385,0.29,0.09,0.2365,0.1,8
F,0.55,0.43,0.14,0.84,0.375,8
F,0.655,0.455,0.17,1.275,0.583,8
I,0.495,0.38,0.135,0.5095,0.2065,8
I,0.395,0.3,0.12,0.2995,0.1265,8
I,0.475,0.36,0.11,0.452,0.191,8
I,0.51,0.385,0.15,0.625,0.3095,8
M,0.57,0.44,0.095,0.827,0.3395,8
M,0.465,0.355,0.12,0.5315,0.2725,8
I,0.36,0.28,0.09,0.2255,0.0885,8
F,0.57,0.42,0.16,0.8875,0.4315,8
I,0.52,0.41,0.11,0.5185,0.2165,8
M,0.36,0.295,0.105,0.241,0.0865,8
I,0.475,0.355,0.105,0.468,0.201,8
I,0.455,0.375,0.125,0.533,0.233,8
I,0.355,0.26,0.09,0.1925,0.077,8
M,0.48,0.365,0.13,0.5305,0.2405,8
I,0.51,0.395,0.155,0.5395,0.2465,8
I,0.505,0.4,0.125,0.5605,0.2255,8
I,0.375,0.29,0.14,0.3,0.14,8
F,0.47,0.375,0.12,0.6015,0.2765,8
M,0.625,0.5,0.13,1.082,0.5785,8
I,0.56,0.43,0.13,0.728,0.3355,8
M,0.53,0.4,0.125,0.7575,0.398,8
I,0.445,0.32,0.12,0.378,0.152,8
I,0.51,0.38,0.115,0.5155,0.215,8
I,0.415,0.325,0.11,0.316,0.1385,8
I,0.47,0.355,0.12,0.393,0.167,8
I,0.455,0.435,0.11,0.4265,0.195,8
I,0.465,0.355,0.12,0.5805,0.255,8
M,0.63,0.485,0.155,1.278,0.637,8
I,0.39,0.29,0.09,0.2745,0.135,8
F,0.515,0.4,0.125,0.615,0.2865,8
F,0.645,0.505,0.165,1.4325,0.684,8
I,0.46,0.355,0.11,0.436,0.1975,8
M,0.55,0.44,0.155,0.9155,0.3645,8
M,0.465,0.375,0.11,0.5,0.21,8
F,0.43,0.34,0.11,0.382,0.154,8
F,0.595,0.48,0.16,1.2095,0.5225,8
F,0.655,0.53,0.165,1.2835,0.583,8
M,0.66,0.485,0.155,1.2275,0.61,8
I,0.515,0.39,0.11,0.531,0.2415,8
I,0.42,0.315,0.11,0.4025,0.1855,8
I,0.5,0.36,0.12,0.439,0.1875,8
I,0.57,0.45,0.135,0.794,0.3815,8
I,0.56,0.44,0.13,0.7235,0.349,8
F,0.64,0.51,0.165,1.486,0.7595,8
I,0.55,0.425,0.13,0.664,0.2695,8
M,0.555,0.44,0.15,0.838,0.4155,8
M,0.49,0.385,0.125,0.649,0.32,8
M,0.515,0.425,0.145,0.9365,0.497,8
I,0.35,0.255,0.09,0.1785,0.0855,8
F,0.575,0.48,0.15,0.897,0.4235,8
M,0.58,0.455,0.13,0.852,0.41,8
I,0.43,0.315,0.115,0.384,0.1885,8
I,0.415,0.315,0.1,0.3645,0.1765,8
M,0.37,0.28,0.105,0.224,0.0815,8
M,0.475,0.36,0.14,0.5135,0.241,8
I,0.42,0.325,0.115,0.354,0.1625,8
I,0.5,0.39,0.125,0.583,0.294,8
I,0.43,0.32,0.11,0.3675,0.1675,8
M,0.52,0.415,0.175,0.753,0.258,8
M,0.56,0.415,0.145,0.852,0.43,8
M,0.605,0.475,0.145,0.884,0.3835,8
I,0.48,0.38,0.125,0.6245,0.3395,8
I,0.54,0.42,0.14,0.74,0.3595,8
M,0.585,0.45,0.18,0.7995,0.336,8
I,0.57,0.44,0.15,0.755,0.3425,8
F,0.47,0.365,0.12,0.582,0.29,8
F,0.38,0.305,0.095,0.2815,0.1255,8
I,0.485,0.375,0.14,0.521,0.2,8
F,0.37,0.275,0.08,0.227,0.093,8
I,0.475,0.36,0.135,0.4355,0.196,8
F,0.555,0.42,0.11,0.931,0.4445,8
I,0.5,0.39,0.12,0.5955,0.2455,8
I,0.35,0.28,0.075,0.196,0.082,8
F,0.505,0.475,0.16,1.1155,0.509,8
F,0.55,0.43,0.15,0.655,0.2635,8
I,0.435,0.325,0.12,0.3995,0.1815,8
I,0.515,0.385,0.125,0.6115,0.3175,8
F,0.455,0.355,1.13,0.594,0.332,8
I,0.445,0.33,0.11,0.358,0.1525,8
I,0.345,0.285,0.1,0.2225,0.0865,8
F,0.635,0.5,0.19,1.29,0.593,8
M,0.45,0.33,0.105,0.4955,0.2575,8
F,0.46,0.425,0.155,0.746,0.3005,8
F,0.64,0.5,0.15,1.0705,0.371,8
F,0.59,0.46,0.16,1.0115,0.445,8
I,0.47,0.385,0.13,0.587,0.264,8
M,0.6,0.455,0.155,0.945,0.4365,8
M,0.645,0.52,0.175,1.561,0.709,8
M,0.47,0.385,0.135,0.5895,0.2765,8
F,0.6,0.46,0.15,1.235,0.6025,8
F,0.61,0.47,0.16,1.0745,0.4925,8
F,0.44,0.33,0.115,0.4005,0.143,8
I,0.385,0.285,0.085,0.244,0.1215,8
M,0.405,0.305,0.085,0.2605,0.1145,8
I,0.48,0.37,0.12,0.536,0.251,8
M,0.535,0.435,0.14,0.874,0.3735,8
I,0.475,0.375,0.11,0.494,0.211,8
I,0.555,0.425,0.13,0.648,0.2835,8
F,0.58,0.46,0.135,0.926,0.4025,8
M,0.52,0.425,0.125,0.79,0.372,8
M,0.385,0.275,0.115,0.2685,0.0975,8
M,0.57,0.445,0.15,0.9875,0.504,8
F,0.575,0.435,0.15,1.0305,0.4605,8
I,0.475,0.36,0.11,0.492,0.211,8
I,0.49,0.4,0.135,0.624,0.3035,8
I,0.425,0.325,0.11,0.405,0.1695,8
I,0.41,0.325,0.105,0.361,0.1605,8
M,0.535,0.415,0.135,0.78,0.3165,8
I,0.445,0.355,0.095,0.3615,0.1415,8
F,0.57,0.455,0.15,1.107,0.54,8
M,0.58,0.45,0.145,1.0025,0.547,8
I,0.435,0.34,0.12,0.396,0.1775,8
I,0.44,0.32,0.095,0.3275,0.1495,8
M,0.49,0.355,0.155,0.981,0.465,8
F,0.525,0.41,0.135,0.7905,0.4065,8
I,0.52,0.38,0.135,0.5395,0.2295,8
I,0.485,0.36,0.12,0.5155,0.2465,8
M,0.56,0.43,0.155,0.8675,0.4,8
I,0.395,0.3,0.09,0.279,0.134,8
I,0.475,0.365,0.12,0.5185,0.268,8
I,0.575,0.43,0.13,0.7425,0.2895,8
M,0.63,0.48,0.15,1.1785,0.5185,8
I,0.435,0.34,0.11,0.3795,0.1495,8
I,0.53,0.43,0.14,0.677,0.298,8
I,0.47,0.355,0.125,0.499,0.21,8
M,0.355,0.265,0.09,0.168,0.05,8
F,0.55,0.415,0.135,0.8145,0.427,8
I,0.52,0.41,0.12,0.595,0.2385,8
I,0.39,0.31,0.105,0.2665,0.1185,8
F,0.465,0.35,0.11,0.4085,0.165,8
I,0.45,0.34,0.105,0.4385,0.21,8
M,0.43,0.335,0.115,0.406,0.166,8
M,0.49,0.38,0.11,0.554,0.2935,8
M,0.57,0.42,0.14,0.8745,0.416,8
I,0.435,0.375,0.11,0.4155,0.17,8
I,0.485,0.38,0.125,0.5215,0.2215,8
I,0.39,0.3,0.105,0.259,0.0955,8
I,0.595,0.43,0.165,0.9845,0.4525,8
M,0.61,0.48,0.14,1.031,0.4375,8
I,0.55,0.415,0.145,0.7815,0.373,8
I,0.495,0.385,0.125,0.585,0.2755,8
I,0.375,0.285,0.1,0.239,0.105,8
I,0.495,0.375,0.12,0.614,0.2855,8
I,0.315,0.23,0.07,0.144,0.053,8
M,0.46,0.36,0.125,0.547,0.2165,8
M,0.575,0.45,0.165,0.9655,0.498,8
I,0.49,0.375,0.125,0.5445,0.279,8
M,0.505,0.44,0.14,0.8275,0.3415,8
I,0.45,0.35,0.13,0.547,0.245,8
M,0.35,0.275,0.11,0.2925,0.1225,8
I,0.51,0.385,0.145,0.7665,0.3985,8
F,0.555,0.44,0.145,0.8815,0.43,8
M,0.385,0.255,0.1,0.3175,0.137,8
M,0.42,0.34,0.115,0.4215,0.175,8
I,0.38,0.27,0.08,0.2105,0.0865,8
I,0.335,0.25,0.095,0.185,0.0795,8
M,0.565,0.435,0.15,0.99,0.5795,8
I,0.55,0.435,0.165,0.804,0.34,8
I,0.45,0.355,0.11,0.4585,0.194,8
F,0.55,0.425,0.125,0.964,0.5475,8
M,0.58,0.45,0.155,0.8275,0.321,8
F,0.61,0.43,0.14,0.909,0.438,8
F,0.515,0.43,0.14,0.834,0.367,8
F,0.48,0.38,0.12,0.608,0.2705,8
M,0.59,0.45,0.155,0.874,0.369,8
I,0.395,0.325,0.105,0.306,0.111,8
I,0.425,0.31,0.095,0.3505,0.1645,8
I,0.515,0.4,0.14,0.7165,0.3495,8
I,0.42,0.325,0.115,0.314,0.1295,8
M,0.485,0.39,0.085,0.6435,0.2945,8
M,0.51,0.39,0.135,0.769,0.3935,8
F,0.535,0.445,0.125,0.8725,0.417,8
I,0.45,0.34,0.095,0.3245,0.1385,8
I,0.545,0.43,0.14,0.772,0.289,8
I,0.5,0.38,0.125,0.519,0.2485,8
I,0.46,0.37,0.11,0.3965,0.1485,8
I,0.36,0.27,0.095,0.2,0.073,8
M,0.56,0.445,0.16,0.8965,0.42,8
F,0.55,0.43,0.125,0.923,0.4035,8
M,0.445,0.35,0.12,0.4425,0.192,8
I,0.27,0.195,0.07,0.102,0.045,8
I,0.545,0.42,0.165,0.8935,0.4235,8
F,0.45,0.355,0.105,0.5225,0.237,8
M,0.59,0.47,0.15,0.9955,0.481,8
I,0.505,0.4,0.145,0.7045,0.334,8
I,0.505,0.355,0.125,0.601,0.25,8
F,0.52,0.405,0.115,0.776,0.32,8
M,0.48,0.36,0.1,0.439,0.194,8
M,0.535,0.42,0.125,0.738,0.355,8
I,0.45,0.35,0.11,0.514,0.253,8
I,0.385,0.29,0.085,0.2505,0.112,8
M,0.52,0.38,0.135,0.5825,0.2505,8
I,0.35,0.26,0.095,0.221,0.0985,8
M,0.47,0.365,0.12,0.612,0.327,8
I,0.385,0.3,0.09,0.308,0.1525,8
I,0.295,0.21,0.08,0.1,0.038,8
M,0.525,0.4,0.14,0.7205,0.3685,8
I,0.45,0.365,0.125,0.462,0.2135,8
I,0.42,0.31,0.1,0.2805,0.1125,8
M,0.525,0.415,0.145,0.845,0.3525,8
F,0.605,0.48,0.14,0.991,0.4735,8
M,0.6,0.465,0.18,1.193,0.5145,8
F,0.465,0.35,0.135,0.6265,0.259,8
I,0.475,0.36,0.145,0.6325,0.2825,8
I,0.43,0.345,0.115,0.4295,0.212,8
I,0.435,0.3,0.12,0.5965,0.259,8
M,0.63,0.47,0.155,1.1325,0.589,8
M,0.39,0.285,0.095,0.271,0.11,8
I,0.56,0.42,0.14,0.837,0.414,8
M,0.57,0.45,0.14,0.9275,0.477,8
M,0.335,0.255,0.075,0.1635,0.0615,8
I,0.435,0.325,0.105,0.335,0.136,8
I,0.51,0.39,0.125,0.597,0.293,8
F,0.575,0.46,0.165,1.065,0.4985,8
M,0.45,0.355,0.115,0.479,0.2125,8
F,0.615,0.48,0.16,1.2525,0.585,8
M,0.475,0.36,0.12,0.578,0.2825,8
I,0.43,0.34,0.1,0.3405,0.1395,8
M,0.295,0.23,0.085,0.125,0.042,8
I,0.485,0.415,0.14,0.5705,0.25,8
I,0.485,0.365,0.09,0.651,0.3165,8
M,0.415,0.31,0.09,0.3245,0.1305,8
I,0.37,0.285,0.095,0.226,0.1135,8
M,0.37,0.28,0.1,0.252,0.1065,8
I,0.385,0.28,0.1,0.2755,0.1305,8
F,0.555,0.445,0.175,1.1465,0.551,8
I,0.42,0.31,0.1,0.2865,0.115,8
I,0.395,0.305,0.105,0.284,0.1135,8
F,0.625,0.49,0.175,1.1075,0.4485,8
M,0.69,0.525,0.175,1.7005,0.8255,8
M,0.575,0.44,0.145,0.87,0.3945,8
F,0.5,0.4,0.14,0.6615,0.2565,8
M,0.495,0.395,0.135,0.6335,0.3035,8
I,0.51,0.4,0.125,0.5935,0.239,8
M,0.63,0.48,0.165,1.286,0.604,8
I,0.395,0.295,0.095,0.2725,0.115,8
M,0.455,0.35,0.11,0.458,0.2,8
M,0.525,0.425,0.125,0.812,0.4035,8
M,0.525,0.435,0.155,1.065,0.486,8
I,0.46,0.345,0.105,0.415,0.187,8
M,0.59,0.47,0.135,1.1685,0.539,8
I,0.545,0.43,0.13,0.7595,0.358,8
I,0.515,0.395,0.125,0.6635,0.32,8
I,0.495,0.375,0.115,0.507,0.241,8
I,0.395,0.32,0.1,0.3075,0.149,8
I,0.46,0.335,0.11,0.444,0.225,8
M,0.59,0.47,0.15,0.861,0.413,8
F,0.62,0.465,0.14,1.011,0.479,8
I,0.52,0.415,0.14,0.6385,0.2945,8
M,0.355,0.265,0.085,0.201,0.069,8
M,0.525,0.395,0.13,0.7635,0.3375,8
M,0.575,0.46,0.165,0.9155,0.4005,8
I,0.525,0.4,0.13,0.6445,0.345,8
I,0.475,0.355,0.135,0.4775,0.2145,8
M,0.51,0.41,0.145,0.796,0.3865,8
I,0.48,0.355,0.115,0.4725,0.2065,8
F,0.505,0.39,0.115,0.66,0.3045,8
I,0.55,0.45,0.14,0.753,0.3445,8
I,0.46,0.34,0.1,0.386,0.1805,8
M,0.575,0.455,0.165,0.867,0.3765,8
I,0.445,0.335,0.11,0.411,0.1985,8
I,0.41,0.3,0.09,0.304,0.129,8
M,0.48,0.37,0.1,0.5135,0.243,8
M,0.6,0.48,0.09,1.05,0.457,8
F,0.58,0.45,0.145,1.137,0.5585,8
F,0.46,0.365,0.125,0.4785,0.206,8
M,0.475,0.37,0.125,0.649,0.347,8
I,0.5,0.385,0.12,0.56,0.2835,8
I,0.375,0.305,0.115,0.2715,0.092,8
I,0.325,0.2,0.08,0.0995,0.0395,8
I,0.32,0.255,0.085,0.1745,0.072,8
F,0.57,0.445,0.145,0.8775,0.412,8
M,0.65,0.485,0.14,1.175,0.475,8
M,0.555,0.44,0.145,0.85,0.4165,8
M,0.45,0.325,0.115,0.4305,0.2235,8
I,0.545,0.405,0.135,0.5945,0.27,8
I,0.535,0.415,0.15,0.5765,0.3595,8
M,0.56,0.415,0.13,0.7615,0.3695,8
I,0.54,0.41,0.135,0.7025,0.31,8
I,0.54,0.39,0.125,0.6255,0.2525,8
F,0.6,0.46,0.155,0.9735,0.427,8
M,0.665,0.515,0.165,1.3855,0.621,8
M,0.44,0.325,0.08,0.413,0.144,8
M,0.51,0.415,0.145,0.751,0.3295,8
I,0.545,0.375,0.12,0.543,0.2375,8
I,0.495,0.355,0.12,0.4965,0.214,8
I,0.455,0.345,0.11,0.434,0.207,8
M,0.55,0.385,0.13,0.7275,0.343,8
I,0.385,0.28,0.085,0.2175,0.097,8
F,0.535,0.46,0.145,0.7875,0.3395,8
I,0.555,0.43,0.125,0.7005,0.3395,8
I,0.375,0.28,0.08,0.2025,0.0825,8
F,0.44,0.34,0.135,0.3975,0.1505,8
M,0.625,0.505,0.175,1.131,0.5425,8
F,0.57,0.45,0.135,0.7805,0.3345,8
F,0.58,0.46,0.18,1.0515,0.4095,8
I,0.595,0.46,0.15,0.8335,0.377,8
F,0.47,0.355,0.18,0.441,0.1525,8
M,0.61,0.485,0.16,1.0145,0.5315,8
M,0.47,0.375,0.13,0.523,0.214,8
I,0.39,0.28,0.09,0.215,0.0845,8
M,0.52,0.465,0.15,0.9505,0.456,8
M,0.69,0.54,0.185,1.71,0.7725,8
M,0.47,0.375,0.115,0.4265,0.1685,8
I,0.455,0.335,0.105,0.4055,0.175,8
I,0.455,0.37,0.11,0.514,0.2385,8
F,0.51,0.385,0.135,0.632,0.282,8
F,0.43,0.325,0.12,0.445,0.165,8
I,0.355,0.275,0.085,0.22,0.092,8
M,0.51,0.405,0.15,0.7035,0.347,8
M,0.59,0.465,0.135,0.9895,0.4235,8
M,0.56,0.42,0.15,0.8755,0.44,8
I,0.485,0.375,0.125,0.562,0.2505,8
F,0.45,0.365,0.115,0.5885,0.318,8
F,0.55,0.44,0.135,0.8435,0.434,8
F,0.5,0.4,0.165,0.7105,0.27,20
F,0.53,0.415,0.15,0.7775,0.237,20
M,0.65,0.515,0.175,1.4805,0.5295,20
M,0.63,0.515,0.165,1.352,0.488,20
M,0.7,0.58,0.205,2.13,0.7415,20
M,0.565,0.44,0.175,1.122,0.393,20
M,0.55,0.44,0.16,0.991,0.348,20
M,0.55,0.425,0.16,0.97,0.2885,20
F,0.595,0.475,0.17,1.247,0.48,20
F,0.57,0.45,0.17,1.098,0.414,20
F,0.59,0.455,0.155,1.066,0.382,20
M,0.53,0.415,0.13,0.8425,0.275,20
F,0.675,0.545,0.195,1.7345,0.6845,20
I,0.58,0.445,0.17,1.178,0.3935,20
F,0.65,0.525,0.175,1.4225,0.61,20
I,0.53,0.42,0.185,0.752,0.299,20
F,0.61,0.485,0.21,1.3445,0.535,20
M,0.635,0.525,0.205,1.484,0.55,20
M,0.565,0.435,0.185,1.032,0.354,20
F,0.725,0.575,0.175,2.124,0.765,20
M,0.615,0.525,0.155,1.1375,0.367,20
F,0.68,0.57,0.205,1.842,0.625,20
F,0.63,0.5,0.17,1.3135,0.5595,20
F,0.65,0.545,0.165,1.566,0.6645,16
M,0.51,0.415,0.14,0.8185,0.3025,16
M,0.44,0.35,0.14,0.451,0.171,16
F,0.66,0.565,0.195,1.7605,0.692,16
M,0.545,0.45,0.16,0.8615,0.2925,16
M,0.725,0.565,0.215,1.891,0.6975,16
I,0.6,0.445,0.175,1.057,0.383,16
M,0.65,0.52,0.19,1.3445,0.519,16
F,0.545,0.425,0.125,0.768,0.294,16
M,0.64,0.5,0.185,1.3035,0.4445,16
F,0.685,0.545,0.18,1.768,0.7495,16
M,0.59,0.485,0.12,0.911,0.39,16
M,0.515,0.4,0.14,0.7365,0.2955,16
M,0.59,0.45,0.185,1.283,0.473,16
F,0.455,0.35,0.125,0.4485,0.1585,16
I,0.56,0.445,0.155,0.8735,0.3005,16
M,0.595,0.47,0.145,0.991,0.4035,16
F,0.66,0.515,0.18,1.523,0.54,16
F,0.515,0.4,0.17,0.796,0.258,16
M,0.645,0.485,0.215,1.514,0.546,16
F,0.57,0.465,0.18,0.9995,0.405,16
I,0.635,0.5,0.18,1.319,0.5485,16
M,0.535,0.405,0.185,0.8345,0.3175,16
M,0.605,0.485,0.175,1.145,0.4325,16
M,0.565,0.455,0.185,0.9265,0.354,16
F,0.54,0.475,0.155,1.217,0.5305,16
F,0.675,0.535,0.16,1.41,0.592,16
M,0.59,0.5,0.2,1.187,0.412,16
M,0.635,0.48,0.235,1.064,0.413,16
F,0.6,0.48,0.15,1.029,0.4085,16
I,0.45,0.35,0.14,0.474,0.21,16
F,0.645,0.52,0.21,1.5535,0.616,16
M,0.655,0.515,0.2,1.373,0.443,16
F,0.465,0.375,0.135,0.6,0.2225,16
M,0.675,0.525,0.175,1.402,0.483,16
F,0.57,0.435,0.14,0.8085,0.3235,16
F,0.74,0.6,0.195,1.974,0.598,16
F,0.52,0.425,0.165,0.9885,0.396,16
F,0.625,0.525,0.215,1.5765,0.5115,16
M,0.575,0.47,0.165,0.853,0.292,16
