@relation abalone

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
I,0.055,0.0415,5
I,0.075,0.056,5
I,0.055,0.017,5
I,0.065,0.0425,5
I,0.065,0.0295,5
F,0.07,0.031,5
I,0.06,0.0445,5
I,0.08,0.074,5
I,0.09,0.1225,5
I,0.055,0.0265,5
I,0.09,0.096,5
I,0.075,0.0605,5
I,0.1,0.1205,5
I,0.085,0.0805,5
I,0.06,0.0285,5
I,0.095,0.096,5
I,0.05,0.0215,5
I,0.055,0.0105,5
I,0.055,0.0255,5
I,0.07,0.048,5
I,0.07,0.034,5
I,0.06,0.028,5
I,0.09,0.1025,5
M,0.075,0.0415,5
I,0.06,0.053,5
I,0.04,0.0185,5
I,0.065,0.052,5
I,0.025,0.011,5
I,0.08,0.065,5
I,0.07,0.028,5
I,0.06,0.021,5
I,0.08,0.0215,5
I,0.07,0.495,5
I,0.045,0.009,5
I,0.08,0.072,5
I,0.04,0.0105,5
I,0.08,0.088,5
I,0.095,0.077,5
M,0.09,0.1395,5
I,0.055,0.0415,5
I,0.065,0.039,5
I,0.085,0.0585,5
I,0.075,0.0345,5
I,0.04,0.0335,5
I,0.075,0.057,5
I,0.075,0.0685,5
I,0.085,0.0415,5
F,0.085,0.104,5
I,0.075,0.09,5
F,0.09,0.0845,5
I,0.08,0.079,5
I,0.045,0.012,4
I,0.02,0.0065,4
I,0.07,0.024,4
I,0.045,0.0135,4
I,0.015,0.0055,4
I,0.04,0.021,4
I,0.055,0.0285,4
I,0.08,0.05,4
M,0.06,0.0265,4
I,0.055,0.027,4
I,0.075,0.051,4
I,0.045,0.025,4
I,0.04,0.0135,4
I,0.02,0.0075,4
I,0.07,0.0345,4
I,0.035,0.0095,4
I,0.075,0.059,4
M,0.04,0.0095,4
M,0.05,0.01,4
M,0.09,0.06,4
I,0.065,0.03,4
I,0.035,0.005,4
I,0.06,0.0125,4
I,0.05,0.005,4
I,0.085,0.039,4
I,0.055,0.031,4
I,0.04,0.0165,4
I,0.06,0.019,4
I,0.075,0.0455,4
I,0.065,0.0305,4
I,0.06,0.034,4
I,0.04,0.0125,4
I,0.05,0.0215,4
I,0.045,0.011,4
I,0.06,0.042,4
I,0.05,0.0125,4
I,0.06,0.0275,4
I,0.065,0.0345,4
I,0.055,0.038,4
I,0.035,0.005,4
M,0.04,0.0095,4
I,0.085,0.0875,4
I,0.055,0.0235,4
I,0.095,0.013,4
I,0.025,0.0075,4
I,0.06,0.0445,4
I,0.065,0.02,4
I,0.04,0.0095,4
M,0.065,0.0245,4
I,0.05,0.019,4
I,0.035,0.012,4
I,0.08,0.055,6
I,0.095,0.1015,6
I,0.075,0.0745,6
I,0.055,0.027,6
I,0.095,0.1255,6
I,0.06,0.036,6
I,0.12,0.2965,6
I,0.075,0.095,6
I,0.095,0.075,6
I,0.07,0.0515,6
I,0.07,0.0755,6
M,0.155,0.2345,6
I,0.09,0.076,6
I,0.095,0.1,6
I,0.105,0.167,6
I,0.075,0.0785,6
I,0.09,0.1255,6
I,0.075,0.0745,6
I,0.095,0.1105,6
I,0.09,0.0775,6
I,0.11,0.1595,6
I,0.055,0.0205,6
I,0.085,0.081,6
I,0.11,0.1575,6
I,0.115,0.1315,6
I,0.085,0.0675,6
M,0.085,0.061,6
I,0.1,0.157,6
I,0.06,0.039,6
I,0.05,0.03,6
M,0.085,0.081,6
F,0.085,0.097,6
I,0.07,0.0625,6
I,0.07,0.063,6
I,0.105,0.1705,6
I,0.085,0.115,6
I,0.105,0.352,6
I,0.115,0.1335,6
I,0.06,0.056,6
I,0.085,0.1095,6
I,0.08,0.0735,6
F,0.115,0.2025,6
I,0.075,0.075,6
I,0.085,0.049,6
I,0.1,0.08,6
I,0.09,0.068,6
I,0.1,0.1185,6
M,0.115,0.3205,6
I,0.065,0.023,6
I,0.095,0.181,6
I,0.085,0.05,6
I,0.105,0.242,6
I,0.09,0.1075,6
I,0.075,0.0835,6
I,0.065,0.0375,6
I,0.06,0.0345,6
I,0.085,0.0775,6
I,0.075,0.0595,6
M,0.09,0.083,6
F,0.125,0.3545,6
I,0.115,0.1895,6
I,0.105,0.2385,6
M,0.135,0.3145,6
I,0.05,0.0295,6
I,0.07,0.037,6
I,0.09,0.0935,6
I,0.09,0.1155,6
I,0.09,0.17,6
I,0.1,0.1385,6
M,0.08,0.0385,6
M,0.125,0.2165,6
I,0.105,0.1455,6
I,0.105,0.2015,6
I,0.075,0.053,6
I,0.095,0.11,6
I,0.105,0.119,6
I,0.075,0.065,6
I,0.125,0.2235,6
M,0.095,0.0835,6
I,0.08,0.108,6
I,0.085,0.122,6
I,0.095,0.143,6
M,0.09,0.0995,6
I,0.085,0.0815,6
I,0.1,0.254,6
I,0.075,0.0585,6
I,0.07,0.037,6
I,0.095,0.0925,6
I,0.085,0.1065,6
I,0.075,0.072,6
M,0.115,0.1645,6
I,0.08,0.1125,6
I,0.07,0.0255,6
I,0.1,0.132,6
F,0.11,0.237,6
I,0.085,0.115,6
M,0.125,0.2485,6
I,0.08,0.105,6
I,0.05,0.0675,6
I,0.1,0.143,6
I,0.1,0.1165,6
I,0.085,0.116,6
F,0.16,0.547,6
I,0.085,0.0815,6
I,0.07,0.0575,6
I,0.09,0.048,6
M,0.145,0.2925,6
I,0.08,0.0265,6
I,0.1,0.0925,6
I,0.055,0.009,6
I,0.1,0.108,6
I,0.1,0.166,6
I,0.08,0.0675,6
I,0.07,0.047,6
I,0.12,0.2355,6
I,0.12,0.2645,6
I,0.09,0.097,6
I,0.07,0.051,6
F,0.11,0.3005,6
I,0.055,0.065,6
I,0.065,0.1575,6
I,0.09,0.1245,6
F,0.09,0.078,6
I,0.08,0.124,6
I,0.075,0.0565,6
I,0.095,0.123,6
I,0.08,0.09,6
I,0.105,0.118,6
I,0.08,0.115,6
I,0.065,0.054,6
I,0.07,0.0655,6
I,0.11,0.206,6
I,0.09,0.138,6
I,0.08,0.0565,6
I,0.095,0.066,6
I,0.1,0.13,6
M,0.075,0.0445,6
I,0.11,0.188,6
I,0.105,0.1405,6
M,0.085,0.066,6
F,0.075,0.113,6
I,0.065,0.058,6
I,0.105,0.159,6
I,0.115,0.1545,6
I,0.09,0.063,6
I,0.03,0.0155,6
I,0.115,0.1825,6
I,0.085,0.096,6
I,0.07,0.0505,6
I,0.1,0.1645,6
I,0.09,0.168,6
I,0.095,0.194,6
M,0.115,0.282,6
I,0.09,0.084,6
I,0.095,0.1325,6
I,0.12,0.241,6
I,0.06,0.022,6
I,0.14,0.097,6
I,0.105,0.188,6
F,0.07,0.076,6
I,0.09,0.0545,6
I,0.085,0.0615,6
F,0.125,0.23,6
I,0.075,0.0825,6
I,0.085,0.0775,6
I,0.07,0.041,6
I,0.11,0.115,6
I,0.15,0.363,6
I,0.095,0.0955,6
I,0.09,0.151,6
I,0.065,0.0425,6
I,0.075,0.045,6
I,0.095,0.097,6
I,0.1,0.114,6
F,0.12,0.3245,6
I,0.08,0.081,6
M,0.075,0.09,6
I,0.135,0.163,6
I,0.11,0.2055,6
I,0.09,0.1265,6
F,0.17,0.41,6
I,0.08,0.081,6
I,0.13,0.209,6
I,0.085,0.1005,6
I,0.09,0.103,6
I,0.12,0.2075,6
M,0.1,0.156,6
I,0.09,0.093,6
I,0.09,0.119,6
I,0.065,0.0205,6
I,0.085,0.0725,6
I,0.07,0.0715,6
I,0.11,0.1375,6
I,0.06,0.031,6
I,0.08,0.08,6
M,0.08,0.0465,6
I,0.075,0.065,6
I,0.095,0.0945,6
I,0.095,0.127,6
I,0.125,0.19,6
I,0.08,0.036,6
I,0.115,0.1895,6
I,0.075,0.052,6
I,0.13,0.3375,6
I,0.09,0.1635,6
I,0.11,0.16,6
I,0.085,0.097,6
F,0.125,0.261,6
I,0.1,0.185,6
I,0.125,0.102,6
F,0.11,0.2025,6
F,0.1,0.1115,6
I,0.09,0.075,6
I,0.095,0.0755,6
I,0.1,0.208,6
M,0.09,0.0725,6
I,0.08,0.064,6
M,0.1,0.0885,6
I,0.07,0.063,6
I,0.07,0.028,6
I,0.12,0.196,6
I,0.09,0.1655,6
I,0.095,0.14,6
M,0.13,0.2485,6
I,0.1,0.1165,6
I,0.1,0.164,6
I,0.095,0.056,6
I,0.08,0.0695,6
I,0.105,0.0915,6
I,0.09,0.1005,6
M,0.075,0.045,6
I,0.05,0.0165,6
I,0.095,0.1045,6
M,0.17,0.472,21
M,0.15,0.225,21
M,0.225,0.637,21
F,0.19,0.4635,21
M,0.16,0.408,21
F,0.185,0.6275,21
F,0.125,0.344,21
F,0.2,0.525,21
M,0.175,0.515,21
M,0.2,0.545,21
F,0.13,0.165,21
F,0.165,0.358,21
I,0.145,0.3845,21
F,0.155,0.242,17
M,0.175,0.261,17
F,0.15,0.243,17
F,0.105,0.1795,17
M,0.125,0.391,17
M,0.16,0.3495,17
I,0.195,0.3685,17
I,0.19,0.5805,17
M,0.175,0.401,17
M,0.195,0.5875,17
M,0.17,0.419,17
F,0.21,0.5975,17
F,0.2,0.673,17
M,0.195,0.387,17
M,0.215,0.9265,17
M,0.165,0.4835,17
M,0.19,0.3905,17
F,0.24,0.7245,17
I,0.145,0.398,17
F,0.13,0.34,17
M,0.23,0.5635,17
F,0.185,0.501,17
I,0.17,0.41,17
F,0.11,0.161,17
I,0.165,0.312,17
M,0.15,0.293,17
I,0.145,0.4285,17
M,0.14,0.312,17
M,0.175,0.643,17
F,0.17,0.3485,17
M,0.195,0.6275,17
F,0.19,0.5775,17
F,0.135,0.2385,17
M,0.2,0.566,17
F,0.195,0.638,17
F,0.22,0.5095,17
F,0.195,0.581,17
F,0.14,0.3785,17
M,0.175,0.4955,17
F,0.16,0.312,17
F,0.14,0.2795,17
M,0.23,1.1465,17
F,0.165,0.336,17
F,0.215,0.68,17
M,0.18,0.3835,17
M,0.155,0.297,17
F,0.19,0.4385,17
F,0.155,0.2405,17
F,0.175,0.5015,17
F,0.165,0.488,17
M,0.22,0.735,17
M,0.115,0.398,17
M,0.14,0.2475,22
M,0.215,0.7425,22
F,0.17,0.3325,22
M,0.215,0.496,22
F,0.215,0.4535,22
I,0.01,0.001,1
I,0.03,0.007,3
I,0.035,0.0055,3
I,0.065,0.031,3
I,0.03,0.0025,3
I,0.045,0.0235,3
I,0.055,0.015,3
I,0.03,0.0045,3
M,0.05,0.0085,3
M,0.04,0.0065,3
I,0.045,0.018,3
I,0.025,0.0065,3
I,0.045,0.0125,3
I,0.05,0.0075,3
I,0.03,0.0125,3
M,0.195,0.384,26
F,0.195,0.933,23
F,0.2,0.381,23
F,0.165,0.25,23
F,0.225,0.378,23
F,0.135,0.302,23
M,0.15,0.425,23
F,0.15,0.241,23
M,0.175,0.4335,23
F,0.185,0.7055,29
I,0.025,0.0045,2
M,0.225,0.7535,27
F,0.215,0.4265,25
M,0.185,0.533,24
F,0.215,0.6675,24
